"","ssb","rec","f","catch","exploit","age"
"1968",169722.33,682045.71,0.12,13864.08,0.07,2.28
"1969",216762.08,323830.75,0.12,17786.08,0.07,2.72
"1970",217066.73,281249.9,0.12,18841.92,0.08,3.06
"1971",235827.36,212609.22,0.12,21407.31,0.08,3.48
"1972",264113.18,289841.05,0.12,27837.43,0.09,3.63
"1973",211690.96,442893.72,0.14,24618.03,0.1,2.99
"1974",220700.94,619995.82,0.14,23085.89,0.09,2.63
"1975",277999.87,602538.29,0.13,21693.44,0.07,2.6
"1976",318767.66,292296.64,0.12,23123.29,0.06,2.95
"1977",423781.22,115130.65,0.11,30380.96,0.06,3.57
"1978",475178.26,88040.77,0.11,36515.91,0.07,4.33
"1979",403774.57,125627.02,0.11,39498.43,0.09,4.71
"1980",349489.97,122540.12,0.12,32889.5,0.08,4.7
"1981",288994.15,204704.29,0.12,27059.21,0.08,4.24
"1982",272445.17,355617.33,0.12,24949.68,0.08,3.54
"1983",259762.59,462507.53,0.13,24469.25,0.08,3.1
"1984",279942.34,197228.89,0.13,24869.97,0.08,3.04
"1985",531367.2,179116.73,0.13,40527.43,0.07,3.4
"1986",496478.49,147534.05,0.13,43661.68,0.08,3.78
"1987",429645.81,164403.33,0.13,45498.5,0.09,4.18
"1988",417052.18,305722.24,0.12,41932.08,0.09,4.17
"1989",430577.76,369423.57,0.13,39355.78,0.08,3.74
"1990",461596.71,235136.04,0.15,45114.03,0.09,3.79
"1991",416754.93,187233.53,0.18,47635.54,0.1,3.85
"1992",307474.61,127386.66,0.21,45010.17,0.13,4.13
"1993",231997.56,66772.67,0.26,44057.99,0.17,4.23
"1994",181707.53,117635.43,0.33,41766.29,0.2,4.15
"1995",137006.4,150020.22,0.39,35845.35,0.23,3.45
"1996",121884.36,152324.84,0.51,36515.56,0.26,3.06
"1997",115561.23,158224.24,0.63,35777.14,0.27,2.7
"1998",96672.14,118464.58,0.76,32820.32,0.3,2.55
"1999",85508.02,165157.05,0.9,35087.65,0.36,2.34
"2000",99184.89,312956.82,1.03,32320.39,0.29,1.83
"2001",144827.72,157376.45,1.01,43407.16,0.26,2.05
"2002",181238.92,142939.95,0.87,61546.95,0.3,2.57
"2003",192470.52,220095.71,0.85,74681.94,0.34,2.79
"2004",165066.3,297273.62,0.88,76419.52,0.41,2.54
"2005",152949.04,236555.64,0.98,73032.5,0.42,2.48
"2006",176780.37,216661.3,1.07,75389.16,0.38,2.51
"2007",150401.22,125720.7,1.13,66837.76,0.39,2.62
"2008",111438.3,142053.71,1.15,54786.03,0.43,2.6
"2009",93279.48,118423.46,1.45,53495.86,0.51,2.57
"2010",65365.55,60549.24,1.9,46146.03,0.62,2.55
"2011",36014.1,73983.39,2.01,22383.53,0.55,2.17
"2012",30726.05,61893.42,1.78,15574.09,0.45,1.93
"2013",32133.18,53052.86,1.44,14910.81,0.41,2.06
"2014",33362.36,62136.21,1.18,13878.11,0.37,2.09
"2015",28267.85,87165.19,1.09,10931.85,0.34,1.88
"2016",28817.77,103108.27,1.1,11634.41,0.36,1.81
"2017",32924.59,37516.79,1.15,16982.37,0.45,2.2
"2018",36130.79,33505.99,1.16,17786.03,0.43,2.7
