Parameter,par,sd(par),exp(par),Low,High
logFpar_0,0.53,0.11,1.7,1.37,2.12
logSdLogFsta_0,-1.12,0.11,0.33,0.26,0.41
logSdLogN_0,-0.33,0.19,0.72,0.49,1.04
logSdLogN_1,-0.89,0.09,0.41,0.34,0.49
logSdLogObs_0,0.76,0.1,2.13,1.73,2.62
logSdLogObs_1,-0.08,0.1,0.92,0.75,1.13
logSdLogObs_2,-0.5,0.07,0.6,0.52,0.69
logSdLogObs_3,-0.31,0.08,0.73,0.62,0.86
rec_loga_0,1.42,0.51,4.14,1.48,11.58
rec_logb_0,-10.66,0.76,0,0,0
logitSel_0,-3.07,0.35,0.05,0.02,0.09
logitSel_1,-1.12,0.2,0.33,0.22,0.48
logitSel_2,0.12,0.23,1.12,0.71,1.78
logitSel_3,0.73,0.29,2.08,1.18,3.69
