"","1","2","3","4","5","6","7","8","9","10"
"1968",0.69,0.15,0.05,0.02,0.01,0.01,0,0.01,0.06,0
"1969",0.1,0.62,0.15,0.03,0.01,0.01,0.01,0,0.01,0.07
"1970",0.16,0.09,0.53,0.11,0.03,0.01,0.01,0.01,0,0.05
"1971",0.12,0.16,0.08,0.46,0.08,0.02,0.01,0.01,0.01,0.05
"1972",0.21,0.1,0.14,0.09,0.32,0.06,0.03,0,0,0.05
"1973",0.27,0.21,0.09,0.1,0.08,0.17,0.04,0.02,0,0.02
"1974",0.33,0.21,0.15,0.07,0.07,0.06,0.08,0.02,0.01,0.01
"1975",0.33,0.28,0.13,0.09,0.04,0.04,0.03,0.04,0.01,0.01
"1976",0.16,0.34,0.24,0.09,0.06,0.02,0.03,0.02,0.02,0.01
"1977",0.07,0.17,0.36,0.21,0.07,0.04,0.02,0.02,0.02,0.02
"1978",0.07,0.05,0.15,0.36,0.19,0.07,0.04,0.02,0.02,0.03
"1979",0.2,0.06,0.04,0.13,0.28,0.15,0.06,0.03,0.01,0.03
"1980",0.13,0.19,0.05,0.04,0.12,0.23,0.12,0.05,0.02,0.04
"1981",0.24,0.1,0.17,0.03,0.04,0.09,0.17,0.08,0.04,0.05
"1982",0.4,0.14,0.05,0.1,0.02,0.02,0.06,0.11,0.04,0.05
"1983",0.51,0.22,0.05,0.02,0.04,0.01,0.01,0.03,0.06,0.04
"1984",0.09,0.55,0.21,0.03,0.01,0.02,0,0.01,0.02,0.07
"1985",0.14,0.06,0.54,0.17,0.02,0.01,0.01,0,0,0.05
"1986",0.1,0.11,0.05,0.55,0.13,0.01,0.01,0.01,0,0.03
"1987",0.12,0.08,0.09,0.05,0.51,0.11,0.01,0,0.01,0.02
"1988",0.3,0.07,0.04,0.05,0.03,0.42,0.07,0,0,0.01
"1989",0.32,0.24,0.04,0.02,0.03,0.01,0.29,0.03,0,0.01
"1990",0.14,0.32,0.2,0.03,0.02,0.02,0.01,0.23,0.02,0.01
"1991",0.19,0.12,0.31,0.16,0.02,0.01,0.01,0.01,0.15,0.02
"1992",0.19,0.18,0.09,0.26,0.13,0.02,0.01,0.01,0.01,0.11
"1993",0.07,0.2,0.19,0.08,0.24,0.11,0.02,0.01,0.01,0.08
"1994",0.28,0.04,0.15,0.14,0.05,0.19,0.08,0.01,0,0.04
"1995",0.33,0.23,0.03,0.11,0.09,0.03,0.11,0.04,0.01,0.02
"1996",0.31,0.27,0.14,0.02,0.07,0.06,0.02,0.07,0.02,0.01
"1997",0.39,0.23,0.18,0.07,0.01,0.04,0.03,0.01,0.03,0.01
"1998",0.23,0.38,0.17,0.12,0.04,0.01,0.02,0.02,0,0.02
"1999",0.37,0.17,0.28,0.09,0.06,0.01,0,0.01,0.01,0.01
"2000",0.72,0.14,0.04,0.07,0.02,0.01,0,0,0,0
"2001",0.14,0.72,0.09,0.02,0.02,0,0,0,0,0
"2002",0.16,0.11,0.66,0.05,0.01,0.01,0,0,0,0
"2003",0.31,0.1,0.06,0.48,0.03,0.01,0,0,0,0
"2004",0.41,0.22,0.05,0.03,0.27,0.01,0,0,0,0
"2005",0.25,0.4,0.16,0.03,0.02,0.14,0,0,0,0
"2006",0.35,0.19,0.3,0.08,0.01,0.01,0.05,0,0,0
"2007",0.16,0.39,0.16,0.22,0.04,0.01,0,0.02,0,0
"2008",0.34,0.12,0.32,0.09,0.11,0.01,0,0,0.01,0
"2009",0.36,0.28,0.07,0.2,0.04,0.05,0,0,0,0
"2010",0.17,0.41,0.24,0.03,0.12,0.02,0.02,0,0,0
"2011",0.52,0.12,0.26,0.07,0.01,0.02,0,0,0,0
"2012",0.43,0.42,0.06,0.08,0.01,0,0,0,0,0
"2013",0.32,0.36,0.28,0.02,0.02,0,0,0,0,0
"2014",0.42,0.22,0.24,0.11,0.01,0,0,0,0,0
"2015",0.5,0.25,0.1,0.11,0.03,0,0,0,0,0
"2016",0.64,0.22,0.08,0.03,0.03,0.01,0,0,0,0
"2017",0.14,0.66,0.15,0.03,0.01,0.01,0,0,0,0
"2018",0.3,0.11,0.51,0.06,0.01,0,0,0,0,0
"2019",0.4,0.27,0.1,0.21,0.02,0,0,0,0,0
"2020",0.42,0.3,0.17,0.04,0.07,0.01,0,0,0,0
