"","1","2","3","4","5","6","7","8","9","10"
"1969",0.01,0.04,0.07,0.1,0.13,0.13,0.13,0.13,0.13,0.13
"1970",0.01,0.04,0.08,0.1,0.13,0.13,0.13,0.13,0.13,0.13
"1971",0.02,0.05,0.08,0.11,0.14,0.14,0.14,0.14,0.14,0.14
"1972",0.02,0.05,0.09,0.12,0.16,0.16,0.16,0.16,0.16,0.16
"1973",0.03,0.09,0.16,0.21,0.27,0.27,0.27,0.27,0.27,0.27
"1974",0.04,0.12,0.22,0.28,0.36,0.36,0.36,0.36,0.36,0.36
"1975",0.04,0.11,0.19,0.25,0.33,0.33,0.33,0.33,0.33,0.33
"1976",0.03,0.09,0.16,0.2,0.26,0.26,0.26,0.26,0.26,0.26
"1977",0.02,0.07,0.12,0.15,0.2,0.2,0.2,0.2,0.2,0.2
"1978",0.02,0.07,0.12,0.15,0.2,0.2,0.2,0.2,0.2,0.2
"1979",0.02,0.07,0.13,0.17,0.22,0.22,0.22,0.22,0.22,0.22
"1980",0.03,0.08,0.14,0.19,0.25,0.25,0.25,0.25,0.25,0.25
"1981",0.03,0.09,0.16,0.21,0.27,0.27,0.27,0.27,0.27,0.27
"1982",0.03,0.09,0.16,0.21,0.28,0.28,0.28,0.28,0.28,0.28
"1983",0.03,0.08,0.13,0.18,0.23,0.23,0.23,0.23,0.23,0.23
"1984",0.02,0.06,0.11,0.14,0.18,0.18,0.18,0.18,0.18,0.18
"1985",0.02,0.06,0.1,0.14,0.18,0.18,0.18,0.18,0.18,0.18
"1986",0.02,0.06,0.1,0.13,0.17,0.17,0.17,0.17,0.17,0.17
"1987",0.02,0.05,0.09,0.12,0.16,0.16,0.16,0.16,0.16,0.16
"1988",0.02,0.05,0.09,0.12,0.16,0.16,0.16,0.16,0.16,0.16
"1989",0.02,0.05,0.08,0.11,0.15,0.15,0.15,0.15,0.15,0.15
"1990",0.02,0.06,0.1,0.13,0.17,0.17,0.17,0.17,0.17,0.17
"1991",0.02,0.06,0.11,0.15,0.2,0.2,0.2,0.2,0.2,0.2
"1992",0.03,0.07,0.13,0.17,0.23,0.23,0.23,0.23,0.23,0.23
"1993",0.03,0.08,0.15,0.19,0.25,0.25,0.25,0.25,0.25,0.25
"1994",0.04,0.11,0.19,0.24,0.32,0.32,0.32,0.32,0.32,0.32
"1995",0.04,0.11,0.2,0.26,0.33,0.33,0.33,0.33,0.33,0.33
"1996",0.06,0.16,0.28,0.35,0.45,0.45,0.45,0.45,0.45,0.45
"1997",0.08,0.22,0.36,0.45,0.55,0.55,0.55,0.55,0.55,0.55
"1998",0.09,0.26,0.42,0.52,0.63,0.63,0.63,0.63,0.63,0.63
"1999",0.12,0.31,0.49,0.6,0.71,0.71,0.71,0.71,0.71,0.71
"2000",0.12,0.33,0.51,0.62,0.73,0.73,0.73,0.73,0.73,0.73
"2001",0.09,0.26,0.42,0.52,0.63,0.63,0.63,0.63,0.63,0.63
"2002",0.08,0.21,0.35,0.44,0.55,0.55,0.55,0.55,0.55,0.55
"2003",0.07,0.2,0.34,0.43,0.53,0.53,0.53,0.53,0.53,0.53
"2004",0.08,0.23,0.38,0.47,0.58,0.58,0.58,0.58,0.58,0.58
"2005",0.1,0.27,0.44,0.54,0.65,0.65,0.65,0.65,0.65,0.65
"2006",0.11,0.29,0.47,0.57,0.68,0.68,0.68,0.68,0.68,0.68
"2007",0.1,0.28,0.46,0.56,0.67,0.67,0.67,0.67,0.67,0.67
"2008",0.1,0.27,0.44,0.54,0.65,0.65,0.65,0.65,0.65,0.65
"2009",0.13,0.35,0.55,0.66,0.77,0.77,0.77,0.77,0.77,0.77
"2010",0.18,0.46,0.67,0.78,0.87,0.87,0.87,0.87,0.87,0.87
"2011",0.19,0.48,0.69,0.8,0.88,0.88,0.88,0.88,0.88,0.88
"2012",0.15,0.38,0.58,0.69,0.79,0.79,0.79,0.79,0.79,0.79
"2013",0.12,0.31,0.5,0.6,0.71,0.71,0.71,0.71,0.71,0.71
"2014",0.1,0.27,0.44,0.54,0.65,0.65,0.65,0.65,0.65,0.65
"2015",0.1,0.27,0.44,0.54,0.65,0.65,0.65,0.65,0.65,0.65
"2016",0.1,0.27,0.43,0.53,0.64,0.64,0.64,0.64,0.64,0.64
"2017",0.1,0.27,0.43,0.53,0.64,0.64,0.64,0.64,0.64,0.64
"2018",0.09,0.24,0.4,0.5,0.61,0.61,0.61,0.61,0.61,0.61
"2019",0.09,0.25,0.41,0.5,0.61,0.61,0.61,0.61,0.61,0.61
"2020",0.09,0.24,0.4,0.5,0.61,0.61,0.61,0.61,0.61,0.61
"2021",0.07,0.21,0.35,0.44,0.54,0.54,0.54,0.54,0.54,0.54
"2022",0.04,0.12,0.21,0.27,0.34,0.34,0.34,0.34,0.34,0.34
