"year","ssb0","ssb","rec","f","catch","exploit","LRP","ratio","run"
1968,272690.850899309,240192.032598532,1553688.96234796,0.156835131259866,24662.2081404166,9.04401745019423,47206.9880858577,5.0880609489782,"2020"
1969,316591.580844846,278860.750391603,178358.853596144,0.151503208035535,29463.3050327007,9.30640826078694,47206.9880858577,5.90719217003264,"2020"
1970,315000.230594345,277459.054478508,243706.163109205,0.148284833169783,31906.2216641302,10.1289518436,47206.9880858577,5.8774996187827,"2020"
1971,305284.372861025,268901.115663515,139399.312231532,0.148784019654911,31805.4492278645,10.4183024272727,47206.9880858577,5.6962141955435,"2020"
1972,277862.981869709,244747.758053014,214115.88647099,0.152564316676662,33089.3742149111,11.9085219600885,47206.9880858577,5.18456626819485,"2020"
1973,244760.618653041,215590.476543183,279785.134307815,0.256951668373445,43833.479472622,17.9087141198797,47206.9880858577,4.56691869752583,"2020"
1974,236661.829286787,208456.886717735,385569.140291196,0.339652583460107,50537.5737900448,21.3543408932259,47206.9880858577,4.41580569255137,"2020"
1975,244908.097320822,215720.37896148,434122.110231838,0.297732794902114,41497.9595329645,16.944298692829,47206.9880858577,4.56967045999923,"2020"
1976,295851.573814999,260592.501096924,204080.732085329,0.238108524907551,38025.9629860252,12.8530541499852,47206.9880858577,5.52021028376077,"2020"
1977,350565.334568201,308785.571612787,70937.1323966242,0.162874889713897,33082.6061585731,9.43693026560135,47206.9880858577,6.54109876807186,"2020"
1978,367934.251737159,324084.49163555,61209.4504205204,0.14752843428429,36092.8979236483,9.80960531759133,47206.9880858577,6.86518044841416,"2020"
1979,330545.468447343,291151.638094076,143916.299273418,0.145944398243439,35715.0242904537,10.8048748809706,47206.9880858577,6.16755378598914,"2020"
1980,283984.222521049,250139.479957952,75738.2891014373,0.148150732126896,30273.0624044148,10.6601212333797,47206.9880858577,5.29878075472663,"2020"
1981,244537.271500041,215393.747512937,129861.336187869,0.152028001331645,26011.0933325726,10.6368625007613,47206.9880858577,4.56275132658729,"2020"
1982,215547.579074067,189858.995887654,247589.255936526,0.160098634602202,23110.7994620583,10.7219016614967,47206.9880858577,4.02184090928123,"2020"
1983,226964.536940718,199915.300699638,493905.085893761,0.173865198347383,24124.9169022698,10.6293772707633,47206.9880858577,4.23486667558714,"2020"
1984,326467.256054751,287559.45991606,94134.380363149,0.171084666820876,27735.381208537,8.4956088839383,47206.9880858577,6.09145958206571,"2020"
1985,422271.017973589,371945.497181272,147288.444917429,0.168940776708199,38371.1107688505,9.0868444992951,47206.9880858577,7.87903469937112,"2020"
1986,447769.242561269,394404.887993874,102598.272001441,0.165499483858069,44270.9781910304,9.88700740984298,47206.9880858577,8.35479881234003,"2020"
1987,407418.312108414,358862.910803404,100998.532094764,0.157359923971321,46907.4509233235,11.5133388778169,47206.9880858577,7.60190228935432,"2020"
1988,398074.283307373,350632.48699938,274867.631530126,0.151742540210746,43261.5103898659,10.8676978654412,47206.9880858577,7.42755471629893,"2020"
1989,418563.744392528,368680.049976507,351389.102687165,0.148586892283895,39248.0157042747,9.37683118284321,47206.9880858577,7.80986173712185,"2020"
1990,438583.948743593,386314.281415742,149307.928196188,0.175738187471623,44274.5575464154,10.0948878027224,47206.9880858577,8.18341303014574,"2020"
1991,382197.256655677,336647.65659339,178991.645280959,0.206336532120619,45315.2082733081,11.8564975242962,47206.9880858577,7.13130979636133,"2020"
1992,320021.471375282,281881.872572193,151194.327905098,0.24267976733808,46484.0519891729,14.5252916279052,47206.9880858577,5.97118952091415,"2020"
1993,252161.080372434,222108.964188392,40968.5336342111,0.282642739208785,44705.0874841593,17.7287817049845,47206.9880858577,4.70500180575874,"2020"
1994,191912.762040098,169040.934978161,140442.053135774,0.346811844320871,41752.2502373572,21.7558487478981,47206.9880858577,3.58084558732529,"2020"
1995,151745.380600678,133660.631750983,155546.246462771,0.404241013673442,35337.5976621256,23.2874289301218,47206.9880858577,2.83137385312292,"2020"
1996,132302.438244245,116534.865232281,130661.991980235,0.539473968159378,36606.1839496981,27.6685633579322,47206.9880858577,2.46859352730433,"2020"
1997,115646.471161065,101863.927151999,168240.606435327,0.680869003501237,34863.2087733969,30.1463662690075,47206.9880858577,2.15781457962821,"2020"
1998,106747.417741729,94025.4473425589,80175.896366632,0.814192799161111,33741.2708537926,31.6085124751478,47206.9880858577,1.99176967553088,"2020"
1999,90823.9067738161,79999.6725397939,119443.458504512,0.983726878205599,34585.5621788828,38.0798001400811,47206.9880858577,1.69465741797156,"2020"
2000,94541.4342487318,83274.1515972911,473589.076730247,1.12300860282247,31342.2642031561,33.1518814498803,47206.9880858577,1.76402170470686,"2020"
2001,182099.670056471,160397.350120618,99164.2424411487,0.972506346927588,44531.1654194129,24.4542812217086,47206.9880858577,3.39774589789325,"2020"
2002,213917.473988914,188423.163873266,102983.621615728,0.759990699808481,62518.2088460747,29.2253866317226,47206.9880858577,3.99142524260542,"2020"
2003,210058.721182289,185024.290471897,205517.194783757,0.725902069845076,67372.3469175329,32.073101530056,47206.9880858577,3.91942587261411,"2020"
2004,198783.086585646,175092.466269968,317289.353699027,0.803841940928622,75883.3737839752,38.1739589053423,47206.9880858577,3.70903701696704,"2020"
2005,200849.729606606,176912.810393077,178299.390489618,0.922079568875067,73287.5263159829,36.4887353642582,47206.9880858577,3.74759792070016,"2020"
2006,190406.618601578,167714.291078338,255107.750382399,1.04448268872841,76071.7258512355,39.952248724302,47206.9880858577,3.55274288572081,"2020"
2007,169265.295403947,149092.5537743,83983.8339650867,1.08870967274805,66928.6791569221,39.5406979305467,47206.9880858577,3.15827295533318,"2020"
2008,131099.997165763,115475.728976818,156417.339432216,0.9906752079789,54191.4592544569,41.3359728650009,47206.9880858577,2.44615752156855,"2020"
2009,109651.784833285,96583.6770478545,148455.455116207,1.34841312810915,53820.0051554758,49.0826530888705,47206.9880858577,2.04596143418837,"2020"
2010,82132.2462027883,72343.8688620146,43658.2806967503,1.89032655559346,47102.3841388385,57.3494410740217,47206.9880858577,1.53248219798389,"2020"
2011,41783.1494205748,36803.5068085281,101965.212865416,2.07926881808066,25225.1794371845,60.3716564859114,47206.9880858577,0.779619888936607,"2020"
2012,34847.4328232684,30694.3767752307,72652.185801142,1.80098749572207,15683.4696581856,45.0060976879575,47206.9880858577,0.650208327618897,"2020"
2013,39060.7262929326,34405.5373039953,48672.5761082636,1.39724120425242,15547.642070579,39.8037710665717,47206.9880858577,0.728822970900414,"2020"
2014,35379.145022608,31162.7204453451,62141.5492559317,1.11561310999641,13097.5830444428,37.0206318894173,47206.9880858577,0.66012939416232,"2020"
2015,32662.8581154959,28770.1558573204,84002.9182079113,1.04612120263081,11585.9327507519,35.4712766096095,47206.9880858577,0.609446970117955,"2020"
2016,35431.8471448734,31209.141620927,174759.101277001,1.03352018175253,12006.2785845989,33.8855565037515,47206.9880858577,0.661112748056822,"2020"
2017,51967.712427833,45774.2914233168,34565.1096799879,1.14031194662807,18254.3517477624,35.1263330536476,47206.9880858577,0.96965075043688,"2020"
