"","par","sd(par)","exp(par)","Low","High"
"logFpar_0",0.73,0.04,2.08,1.91,2.26
"logSdLogFsta_0",-0.75,0.06,0.47,0.42,0.53
"logSdLogN_0",-0.19,0.19,0.82,0.57,1.2
"logSdLogN_1",-0.92,0.08,0.4,0.34,0.47
"logSdLogObs_0",0.6,0.08,1.83,1.55,2.16
"logSdLogObs_1",-0.24,0.11,0.79,0.63,0.98
"logSdLogObs_2",-0.69,0.07,0.5,0.43,0.58
"logSdLogObs_3",-0.41,0.06,0.66,0.59,0.75
"rec_loga_0",1.03,0.24,2.8,1.73,4.51
"rec_logb_0",-11.88,0.57,0,0,0
"logitSel_0",-2.21,0.18,0.11,0.08,0.16
"logitSel_1",-0.85,0.16,0.43,0.31,0.59
"logitSel_2",0.19,0.16,1.21,0.88,1.66
"logitSel_3",1.03,0.31,2.81,1.52,5.18
