"MP","LRP2024","LRP2025","ssblrp2024","ssblrp2025","grow","TAC2023","TAC2024","TAC2025","Canada 2.5%","Canada 97.5%","US 2.5%","US 97.5%"
1,"27.5% (27-28%)","37.5% (37-38%)","0.66 (0.65-0.67)","0.78 (0.77-0.79)","78.5 % (75-82%)",0,0,0,192,674,489,2682
2,"27.5% (27-28%)","36.5% (36-37%)","0.66 (0.65-0.67)","0.78 (0.76-0.79)","78 % (75-81%)",50,50,50,192,674,489,2682
3,"27% (27-27%)","36.5% (36-37%)","0.66 (0.65-0.67)","0.78 (0.76-0.79)","78 % (75-81%)",100,100,100,192,674,489,2682
4,"27% (27-27%)","36.5% (36-37%)","0.66 (0.65-0.66)","0.77 (0.76-0.78)","77 % (74-80%)",150,150,150,192,674,489,2682
5,"27% (27-27%)","36.5% (36-37%)","0.65 (0.64-0.66)","0.76 (0.75-0.78)","77 % (74-80%)",200,200,200,192,674,489,2682
6,"26.5% (26-27%)","36.5% (36-37%)","0.65 (0.64-0.66)","0.76 (0.75-0.78)","76.5 % (73-80%)",250,250,250,192,674,489,2682
7,"26.5% (26-27%)","36% (36-36%)","0.65 (0.64-0.66)","0.76 (0.75-0.77)","76 % (73-79%)",300,300,300,192,674,489,2682
8,"26.5% (26-27%)","35.5% (35-36%)","0.65 (0.64-0.66)","0.76 (0.74-0.77)","75.5 % (72-79%)",350,350,350,192,674,489,2682
9,"26.5% (26-27%)","35.5% (35-36%)","0.64 (0.63-0.65)","0.75 (0.74-0.76)","75.5 % (72-79%)",450,450,450,192,674,489,2682
10,"26.5% (26-27%)","35.5% (35-36%)","0.64 (0.63-0.65)","0.75 (0.74-0.76)","74.5 % (71-78%)",500,500,500,192,674,489,2682
11,"26.5% (26-27%)","35.5% (35-36%)","0.64 (0.63-0.65)","0.74 (0.73-0.76)","74.5 % (71-78%)",550,550,550,192,674,489,2682
12,"26.5% (26-27%)","35% (35-35%)","0.64 (0.63-0.65)","0.74 (0.73-0.75)","74 % (70-78%)",600,600,600,192,674,489,2682
13,"26% (26-26%)","34.5% (34-35%)","0.64 (0.62-0.65)","0.74 (0.73-0.75)","73.5 % (70-77%)",650,650,650,192,674,489,2682
14,"26% (26-26%)","34.5% (34-35%)","0.63 (0.62-0.64)","0.74 (0.72-0.75)","73 % (69-77%)",700,700,700,192,674,489,2682
15,"26% (26-26%)","34.5% (34-35%)","0.63 (0.62-0.64)","0.74 (0.72-0.75)","73 % (69-77%)",750,750,750,192,674,489,2682
16,"26% (26-26%)","34.5% (34-35%)","0.63 (0.62-0.64)","0.73 (0.72-0.74)","72.5 % (69-76%)",800,800,800,192,674,489,2682
17,"25.5% (25-26%)","34.5% (34-35%)","0.63 (0.62-0.64)","0.72 (0.71-0.74)","72 % (68-76%)",850,850,850,192,674,489,2682
18,"25.5% (25-26%)","34.5% (34-35%)","0.63 (0.62-0.64)","0.72 (0.71-0.74)","71.5 % (68-75%)",900,900,900,192,674,489,2682
19,"25.5% (25-26%)","34.5% (34-35%)","0.62 (0.61-0.63)","0.72 (0.71-0.73)","71.5 % (68-75%)",950,950,950,192,674,489,2682
20,"25.5% (25-26%)","33.5% (33-34%)","0.62 (0.61-0.63)","0.72 (0.71-0.73)","70.5 % (67-74%)",1000,1000,1000,192,674,489,2682
21,"26.5% (26-27%)","35.5% (35-36%)","0.64 (0.63-0.65)","0.75 (0.74-0.76)","75.5 % (72-79%)",460,460,460,192,674,489,2682
22,"26.5% (26-27%)","35.5% (35-36%)","0.64 (0.63-0.65)","0.75 (0.74-0.76)","75 % (71-79%)",470,470,470,192,674,489,2682
23,"26.5% (26-27%)","35.5% (35-36%)","0.64 (0.63-0.65)","0.75 (0.74-0.76)","74.5 % (71-78%)",480,480,480,192,674,489,2682
24,"26.5% (26-27%)","35.5% (35-36%)","0.64 (0.63-0.65)","0.75 (0.74-0.76)","74.5 % (71-78%)",490,490,490,192,674,489,2682
25,"25.5% (25-26%)","34.5% (34-35%)","0.63 (0.62-0.64)","0.72 (0.71-0.74)","72 % (68-76%)",860,860,860,192,674,489,2682
26,"25.5% (25-26%)","34.5% (34-35%)","0.63 (0.62-0.64)","0.72 (0.71-0.74)","72 % (68-76%)",870,870,870,192,674,489,2682
27,"25.5% (25-26%)","34.5% (34-35%)","0.63 (0.62-0.64)","0.72 (0.71-0.74)","72 % (68-76%)",880,880,880,192,674,489,2682
28,"25.5% (25-26%)","34.5% (34-35%)","0.63 (0.62-0.64)","0.72 (0.71-0.74)","71.5 % (68-75%)",890,890,890,192,674,489,2682
