MP,LRP2024,LRP2025,ssblrp2024,ssblrp2025,grow,TAC2023,TAC2024,TAC2025,Canada 2.5%,Canada 97.5%,US 2.5%,US 97.5%
1,28.5% (28-29%),38.5% (38-39%),0.68 (0.67-0.68),0.8 (0.79-0.82),81 % (78-84%),0,0,0,0,0,489,2682
2,28% (28-28%),38.5% (38-39%),0.68 (0.67-0.68),0.8 (0.79-0.82),80.5 % (78-83%),50,50,50,0,0,489,2682
3,28% (28-28%),38.5% (38-39%),0.68 (0.67-0.68),0.8 (0.79-0.81),80.5 % (78-83%),100,100,100,0,0,489,2682
4,27.5% (27-28%),38.5% (38-39%),0.67 (0.66-0.68),0.8 (0.78-0.81),80 % (77-83%),150,150,150,0,0,489,2682
5,27.5% (27-28%),38% (37-39%),0.67 (0.66-0.68),0.8 (0.78-0.81),79.5 % (77-82%),200,200,200,0,0,489,2682
6,27.5% (27-28%),37.5% (37-38%),0.67 (0.66-0.68),0.79 (0.78-0.8),79.5 % (77-82%),250,250,250,0,0,489,2682
7,27.5% (27-28%),37.5% (37-38%),0.66 (0.66-0.67),0.78 (0.77-0.8),79 % (76-82%),300,300,300,0,0,489,2682
8,27.5% (27-28%),37.5% (37-38%),0.66 (0.65-0.67),0.78 (0.77-0.8),78.5 % (76-81%),350,350,350,0,0,489,2682
9,27.5% (27-28%),37% (36-38%),0.66 (0.65-0.67),0.78 (0.77-0.79),78 % (75-81%),450,450,450,0,0,489,2682
10,27.5% (27-28%),36.5% (36-37%),0.66 (0.65-0.67),0.78 (0.76-0.79),78 % (75-81%),500,500,500,0,0,489,2682
11,27.5% (27-28%),36.5% (36-37%),0.65 (0.64-0.66),0.78 (0.76-0.79),77 % (74-80%),550,550,550,0,0,489,2682
12,27% (27-27%),36.5% (36-37%),0.65 (0.64-0.66),0.77 (0.76-0.78),77 % (74-80%),600,600,600,0,0,489,2682
13,27% (27-27%),36.5% (36-37%),0.65 (0.64-0.66),0.76 (0.75-0.78),76.5 % (73-80%),650,650,650,0,0,489,2682
14,27% (27-27%),36.5% (36-37%),0.65 (0.64-0.66),0.76 (0.75-0.78),76 % (73-79%),700,700,700,0,0,489,2682
15,26.5% (26-27%),36% (36-36%),0.65 (0.64-0.66),0.76 (0.75-0.77),75.5 % (72-79%),750,750,750,0,0,489,2682
16,26.5% (26-27%),35.5% (35-36%),0.64 (0.63-0.66),0.76 (0.74-0.77),75.5 % (72-79%),800,800,800,0,0,489,2682
17,26.5% (26-27%),35.5% (35-36%),0.64 (0.63-0.65),0.76 (0.74-0.77),75.5 % (72-79%),850,850,850,0,0,489,2682
18,26.5% (26-27%),35.5% (35-36%),0.64 (0.63-0.65),0.75 (0.74-0.76),74.5 % (71-78%),900,900,900,0,0,489,2682
19,26.5% (26-27%),35.5% (35-36%),0.64 (0.63-0.65),0.74 (0.73-0.76),74.5 % (71-78%),950,950,950,0,0,489,2682
20,26.5% (26-27%),35% (35-35%),0.64 (0.63-0.65),0.74 (0.73-0.76),74 % (70-78%),1000,1000,1000,0,0,489,2682
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Probability of growth,,,,,,,,,
,,TAC,No recreational fishing,Recreational fishing,,,,,,,,
,,0,81 % (78-84%),78.5 % (75-82%),,,,,,,,
,,50,80.5 % (78-83%),78 % (75-81%),,,,,,,,
,,100,80.5 % (78-83%),78 % (75-81%),,,,,,,,
,,150,80 % (77-83%),77 % (74-80%),,,,,,,,
,,200,79.5 % (77-82%),77 % (74-80%),,,,,,,,
,,250,79.5 % (77-82%),76.5 % (73-80%),,,,,,,,
,,300,79 % (76-82%),76 % (73-79%),,,,,,,,
,,350,78.5 % (76-81%),75.5 % (72-79%),,,,,,,,
,,450,78 % (75-81%),75.5 % (72-79%),,,,,,,,
,,460,78 % (75-81%),75.5 % (72-79%),,,,,,,,
,,470,78 % (75-81%),75 % (71-79%),,,,,,,,
,,480,78 % (75-81%),74.5 % (71-78%),,,,,,,,
,,490,78 % (75-81%),74.5 % (71-78%),,,,,,,,
,,500,78 % (75-81%),74.5 % (71-78%),,,,,,,,
,,550,77 % (74-80%),74.5 % (71-78%),,,,,,,,
,,600,77 % (74-80%),74 % (70-78%),,,,,,,,
,,650,76.5 % (73-80%),73.5 % (70-77%),,,,,,,,
,,700,76 % (73-79%),73 % (69-77%),,,,,,,,
,,750,75.5 % (72-79%),73 % (69-77%),,,,,,,,
,,800,75.5 % (72-79%),72.5 % (69-76%),,,,,,,,
,,850,75.5 % (72-79%),72 % (68-76%),,,,,,,,
,,860,74.5 % (71-78%),72 % (68-76%),,,,,,,,
,,870,74.5 % (71-78%),72 % (68-76%),,,,,,,,
,,880,74.5 % (71-78%),72 % (68-76%),,,,,,,,
,,890,74.5 % (71-78%),71.5 % (68-75%),,,,,,,,
,,900,74.5 % (71-78%),71.5 % (68-75%),,,,,,,,
,,950,74.5 % (71-78%),71.5 % (68-75%),,,,,,,,
,,1000,74 % (70-78%),70.5 % (67-74%),,,,,,,,
