"year","age","Estimate","Low","High"
"1969","1",114358.697123142,38210.6100378534,342258.644778163
"1969","2",890128.739549759,364948.67478013,2171070.14691805
"1969","3",297964.399977535,139642.632927178,635785.660818007
"1969","4",38977.9093707733,18076.260827584,84048.2129245349
"1969","5",12222.0338777412,5509.49786399937,27112.8360144639
"1969","6",12598.3174292266,5468.61008827831,29023.3897618257
"1969","7",26011.4459663995,8461.68226859888,79959.906291182
"1969","8",14065.956506971,3703.04486776681,53429.3100735009
"1969","9",5583.39288104595,870.210111905599,35823.8494791203
"1969","10",116691.013393686,55664.6731589383,244621.8011191
"1970","1",208522.341921392,81952.3830113702,530571.113159079
"1970","2",79247.2643622248,33217.5849170601,189060.370420577
"1970","3",663491.361619879,346806.828701956,1269354.437431
"1970","4",144943.582159991,76619.7591996201,274193.526954785
"1970","5",30925.750458371,15868.1093264561,60271.9594210805
"1970","6",7677.68037260452,3728.93382702038,15807.9436746075
"1970","7",9079.86672722163,3730.77864998814,22098.3305413653
"1970","8",19660.7672086223,6820.47169434255,56674.3451999472
"1970","9",10976.2752770964,2917.47192027261,41295.5539079668
"1970","10",75398.2128791737,38849.0895747717,146332.657150991
"1971","1",113218.512001912,44509.4754445555,287993.316746557
"1971","2",135883.93349908,62053.6818353496,297555.968269138
"1971","3",48901.396411935,25534.0022682156,93653.4173498497
"1971","4",452037.533025499,263020.516714906,776889.703571168
"1971","5",77818.7707615015,43210.7491310519,140144.783522842
"1971","6",20393.0621233658,10663.6807075063,38999.3843752951
"1971","7",5903.80956574587,2524.93803473045,13804.2862474894
"1971","8",7029.23955171488,2649.25618140408,18650.5967305909
"1971","9",14520.5552264983,4627.83268306128,45560.5330887443
"1971","10",65263.7690846511,34728.8051964765,122646.302717227
"1972","1",149362.32552883,58843.755359756,379124.414323797
"1972","2",68887.1205323909,31155.1880085572,152316.056444299
"1972","3",79944.9209481704,43818.4504517291,145856.147798969
"1972","4",56449.3660402378,31858.851268574,100020.270645728
"1972","5",233370.921849439,142387.057268785,382492.539768193
"1972","6",43042.9576385291,23952.7024383675,77348.1074646741
"1972","7",18282.734088111,8395.17912057633,39815.5132768185
"1972","8",3505.08126170274,1363.56091019206,9009.93461994244
"1972","9",4548.27629606384,1507.29709396516,13724.4457964929
"1972","10",53897.7719587691,28960.695381077,100307.322869657
"1973","1",201858.739217027,79739.2280711735,511002.571556349
"1973","2",139178.350313377,64611.3478834291,299802.029063089
"1973","3",64379.8818855537,36222.0706534677,114426.62213462
"1973","4",57369.3938528572,33495.7013358471,98258.7979885631
"1973","5",54162.4168340894,32190.8539262385,91130.4622123903
"1973","6",103740.594316236,65039.0793148872,165471.452278422
"1973","7",27192.1672164872,14111.7435598613,52397.0659467302
"1973","8",11783.879052314,5219.73495022683,26602.8460915494
"1973","9",2613.37580646407,909.406843804717,7510.09644620437
"1973","10",19685.3830285117,9782.02431358623,39614.9398689387
"1974","1",359294.269750883,141962.285261715,909342.731682801
"1974","2",142574.494099498,65213.527984706,311706.589045374
"1974","3",106542.142048083,60088.4665017182,188908.599154705
"1974","4",48830.7245119681,28458.0787319087,83787.7946303581
"1974","5",40989.4105716851,24385.2006501707,68899.64955045
"1974","6",34954.485601993,20528.3785354393,59518.3911671662
"1974","7",45020.4459679869,25926.3590141209,78176.8297682102
"1974","8",13363.9954525856,6245.3578281514,28596.6600106869
"1974","9",6028.97695446171,2384.96278085371,15240.7255195904
"1974","10",9323.26026137665,4108.80197799889,21155.3592426227
"1975","1",552796.857702306,218376.506355563,1399346.34446431
"1975","2",289291.934629487,133789.214475832,625534.904062009
"1975","3",81855.5305872252,43960.3188566314,152417.636222523
"1975","4",54542.3506123947,30320.9578278347,98112.6001103585
"1975","5",26816.7583656954,14851.4043238059,48422.2578259053
