"Estimate","Low","High","year"
31538.9462210033,6732.55595603396,147745.541994322,1969
33860.3854630471,11915.8540876954,96218.5081546157,1970
36466.5293345287,28836.6760255382,46115.154205996,1971
34361.0731137231,31447.1109556913,37545.0497564052,1972
43946.7060095641,37559.4217299085,51420.1997831388,1973
50605.4943785375,45795.0103363483,55921.2901686703,1974
41745.4959798303,28904.0712389867,60292.0751264768,1975
38515.4218346848,19652.8165912904,75482.1942296625,1976
34198.8275344042,30650.27221352,38158.2191694865,1977
35565.3741053603,16970.1206264297,74536.6437339435,1978
35233.3929947422,26682.9112157109,46523.8583558684,1979
34149.4642534352,14773.4377415004,78938.0189771737,1980
30932.418817279,10449.4006214484,91566.4513736413,1981
29076.666099078,9321.96841727656,90694.6337503546,1982
24176.3185426339,10445.6969085266,55955.5177020112,1983
35441.342599706,31450.9773323589,39937.9883173738,1984
46391.9165923346,18299.1890021081,117612.311937004,1985
46567.0829357425,15521.1014559398,139712.585430878,1986
48555.5148396421,16377.5127287515,143955.804546789,1987
42416.6781439001,16890.7524095138,106518.320862357,1988
43603.1260871463,39301.7433535325,48375.2740296874,1989
46957.8673237557,19423.4894318192,113524.467955958,1990
50016.7604418135,18314.0261854404,136598.92695155,1991
48280.4214970313,20119.5642299982,115857.335342059,1992
47165.0609247896,41708.4188727394,53335.5862476263,1993
45084.0820485319,38227.2308181522,53170.8525743798,1994
37683.3356905873,34388.975376409,41293.2858053002,1995
44033.6989562493,19035.4634007047,101860.753423938,1996
45092.9272444507,16660.8338595679,122045.037157946,1997
38321.0359870985,13792.1502655261,106473.738384005,1998
36237.751660805,12449.2131053821,105482.542094364,1999
29860.1008288531,10643.0024996591,83775.7598513985,2000
34161.830798254,12591.6015695753,92683.26011112,2001
47069.0191271612,18088.1230296057,122483.275791903,2002
58736.0353327558,25934.2095659854,133025.910731267,2003
72609.1528807067,64868.1941712235,81273.8684868865,2004
70820.8109513071,63475.3000170345,79016.3616785549,2005
72172.9395121092,66526.3901605241,78298.7500937557,2006
65380.8294173512,58813.140241603,72681.9353250073,2007
50353.6620998947,25261.4382050322,100370.0290653,2008
52161.9900676071,48315.2920208322,56314.9490360108,2009
45835.2504458681,42713.274842443,49185.4158030484,2010
23405.9882687271,20468.1312562665,26765.5253905051,2011
16391.7933788437,7010.00721870592,38329.6167595537,2012
13782.4735121067,5469.59040263029,34729.5797543768,2013
12812.758522149,5218.77364004031,31456.9652317077,2014
11079.0314312602,4647.68024059715,26409.9359466864,2015
13114.9831504296,5454.76532779635,31532.572475586,2016
15950.5323932142,6432.25949251439,39553.6722240544,2017
16512.563907193,6584.98662981988,41407.0342306211,2018
13625.3236828326,5540.15490434909,33509.7932579868,2019
11028.7214510777,4840.63574935385,25127.4219221511,2020
6335.53823540478,5676.95991108439,7070.51755886165,2021
2475.00371079703,2317.28222903865,2643.46021028278,2022
2754.29244920724,1249.13863949861,6073.08641001209,2023
2069.0063680351,1895.94294763372,2257.86717702268,2024
