"","1","2","3","4","5","6","7","8","9","10"
"1969",7,58,19,3,1,1,2,1,0,8
"1970",17,6,53,12,2,1,1,2,1,6
"1971",12,14,5,48,8,2,1,1,2,7
"1972",21,10,11,8,33,6,3,0,1,8
"1973",30,20,9,8,8,15,4,2,0,3
"1974",45,18,13,6,5,4,6,2,1,1
"1975",51,27,8,5,2,2,2,2,1,1
"1976",23,45,20,4,2,1,1,1,1,0
"1977",10,22,46,15,3,2,1,1,1,1
"1978",18,7,19,36,13,3,1,1,1,1
"1979",29,16,5,12,22,11,3,1,1,1
"1980",12,28,14,5,10,17,9,3,1,1
"1981",48,7,16,5,4,6,8,4,1,1
"1982",59,23,3,5,1,2,2,4,1,1
"1983",68,21,7,1,1,0,0,0,1,1
"1984",9,69,17,2,0,1,0,0,0,2
"1985",23,6,58,9,1,0,0,0,0,1
"1986",12,20,7,51,8,1,0,0,0,1
"1987",14,9,15,5,48,7,0,0,0,1
"1988",42,8,4,5,3,34,4,0,0,0
"1989",37,26,4,2,2,1,26,2,0,0
"1990",17,34,19,3,2,1,1,21,1,0
"1991",22,14,30,14,2,1,1,1,15,1
"1992",24,18,10,24,10,1,1,1,1,10
"1993",7,24,17,8,24,10,1,1,1,7
"1994",29,5,21,15,4,17,6,1,0,3
"1995",35,22,3,14,10,3,9,3,0,1
"1996",34,26,14,2,8,7,1,5,2,1
"1997",43,24,16,7,1,3,3,1,2,1
"1998",24,40,17,11,4,0,2,1,0,1
"1999",36,19,27,10,5,1,0,1,0,0
"2000",73,13,5,6,2,1,0,0,0,0
"2001",17,68,8,2,2,1,0,0,0,0
"2002",17,11,64,5,1,1,0,0,0,0
"2003",38,10,6,43,3,0,0,0,0,0
"2004",48,23,4,3,21,1,0,0,0,0
"2005",25,43,16,3,1,11,0,0,0,0
"2006",46,16,25,8,1,0,3,0,0,0
"2007",16,46,13,20,3,0,0,2,0,0
"2008",40,11,32,7,9,1,0,0,1,0
"2009",42,29,6,17,3,4,0,0,0,0
"2010",18,46,22,3,8,1,1,0,0,0
"2011",59,12,22,5,0,1,0,0,0,0
"2012",43,45,5,6,1,0,0,0,0,0
"2013",33,37,27,1,2,0,0,0,0,0
"2014",42,22,23,13,0,0,0,0,0,0
"2015",52,25,11,9,3,0,0,0,0,0
"2016",63,23,8,3,2,1,0,0,0,0
"2017",17,61,16,4,1,1,0,0,0,0
"2018",30,15,44,9,2,0,0,0,0,0
"2019",18,33,18,26,4,1,0,0,0,0
"2020",30,17,27,10,14,2,0,0,0,0
"2021",51,22,9,11,3,2,0,0,0,0
"2022",48,35,10,3,2,1,0,0,0,0
"2023",37,34,21,5,1,1,0,0,0,0
"2024",40,25,21,11,2,1,0,0,0,0
