"","ssb0","ssb","rec","f","catch","exploit","age","LRP","ratio"
"1969",411096.87,360405.18,114358.7,0.13,31538.95,7.67,3,40921.07,8.81
"1970",387778.51,339962.16,208522.34,0.14,33860.39,8.73,3.37,40921.07,8.31
"1971",333406.46,292294.64,113218.51,0.15,36466.53,10.94,3.97,40921.07,7.14
"1972",250405.3,219528.22,149362.33,0.18,34361.07,13.72,4.1,40921.07,5.36
"1973",189183.48,165855.57,201858.74,0.33,43946.71,23.23,3.37,40921.07,4.05
"1974",173478.42,152087.07,359294.27,0.48,50605.49,29.17,2.66,40921.07,3.72
"1975",183133.89,160551.94,552796.86,0.42,41745.5,22.8,2.1,40921.07,3.92
"1976",254208.93,222862.84,246255.62,0.32,38515.42,15.15,2.38,40921.07,5.45
"1977",291402.18,255469.85,81542.7,0.22,34198.83,11.74,3.01,40921.07,6.24
"1978",249573.28,218798.8,116314.23,0.23,35565.37,14.25,3.49,40921.07,5.35
"1979",198020.46,173602.88,159073.99,0.28,35233.39,17.79,3.45,40921.07,4.24
"1980",164230.06,143979.12,45239.1,0.34,34149.46,20.79,3.87,40921.07,3.52
"1981",125817,110302.71,201302.84,0.38,30932.42,24.59,2.94,40921.07,2.7
"1982",125904.44,110379.36,373813.05,0.41,29076.67,23.09,2.13,40921.07,2.7
"1983",179744.43,157580.43,953285.14,0.31,24176.32,13.45,1.59,40921.07,3.85
"1984",340735.34,298719.81,110910.92,0.23,35441.34,10.4,2.35,40921.07,7.3
"1985",442691.21,388103.67,320044.35,0.22,46391.92,10.48,2.71,40921.07,9.48
"1986",422564.67,370458.9,133726.56,0.2,46567.08,11.02,3.32,40921.07,9.05
"1987",387600.4,339806.01,129222.42,0.19,48555.51,12.53,3.92,40921.07,8.3
"1988",352561.7,309087.89,459997.69,0.17,42416.68,12.03,3.41,40921.07,7.55
"1989",410077.26,359511.29,492382.69,0.15,43603.13,10.63,3.27,40921.07,8.79
"1990",410847.71,360186.73,191478.95,0.18,46957.87,11.43,3.63,40921.07,8.8
"1991",363535.01,318708.09,226355.49,0.22,50016.76,13.76,3.68,40921.07,7.79
"1992",302803.82,265465.56,215892.22,0.25,48280.42,15.94,3.61,40921.07,6.49
"1993",244543.13,214388.91,44272.66,0.3,47165.06,19.29,4.09,40921.07,5.24
"1994",190517.67,167025.24,163767.53,0.38,45084.08,23.66,3.6,40921.07,4.08
"1995",150846.88,132246.19,184119.47,0.4,37683.34,24.98,3.12,40921.07,3.23
"1996",134230.06,117678.36,163589.07,0.57,44033.7,32.8,2.91,40921.07,2.88
"1997",117710.69,103195.97,209986.41,0.76,45092.93,38.31,2.45,40921.07,2.52
"1998",104421.49,91545.45,91081.52,0.89,38321.04,36.7,2.55,40921.07,2.24
"1999",83207.14,72947,112912.97,1.04,36237.75,43.55,2.43,40921.07,1.78
"2000",79633.62,69814.12,430186,1.03,29860.1,37.5,1.55,40921.07,1.71
"2001",123286.05,108083.85,89714.26,0.78,34161.83,27.71,2.07,40921.07,2.64
"2002",169569.98,148660.58,94324.23,0.63,47069.02,27.76,2.65,40921.07,3.63
"2003",172232.51,150994.8,243642.25,0.63,58736.04,34.1,2.66,40921.07,3.69
"2004",167913.72,147208.54,394477.2,0.8,72609.15,43.24,2.3,40921.07,3.6
"2005",163860.88,143655.46,171153.56,0.98,70820.81,43.22,2.48,40921.07,3.51
"2006",135094.52,118436.23,319884.06,1.1,72172.94,53.42,2.18,40921.07,2.89
"2007",129369.62,113417.26,77050.34,1.06,65380.83,50.54,2.59,40921.07,2.77
"2008",100399.74,88019.6,173109.72,1,50353.66,50.15,2.42,40921.07,2.15
"2009",85568.63,75017.3,170119.81,1.41,52161.99,60.96,2.25,40921.07,1.83
"2010",64655.44,56682.88,42425.88,2.02,45835.25,70.89,2.48,40921.07,1.39
"2011",32736.47,28699.79,109735.31,2.43,23405.99,71.5,1.83,40921.07,0.7
"2012",29570.28,25924.02,66979.33,1.73,16391.79,55.43,1.77,40921.07,0.63
"2013",31688.24,27780.81,45217.4,1.26,13782.47,43.49,2.03,40921.07,0.68
"2014",30939.33,27124.25,57884.89,0.94,12812.76,41.41,2.09,40921.07,0.66
"2015",27415.31,24034.77,83737.79,0.95,11079.03,40.41,1.86,40921.07,0.59
"2016",29852.21,26171.18,162698.06,1.01,13114.98,43.93,1.6,40921.07,0.64
"2017",43129.96,37811.68,37679.56,1.08,15950.53,36.98,2.14,40921.07,0.92
"2018",44981.57,39434.97,54982.06,0.99,16512.56,36.71,2.4,40921.07,0.96
"2019",32067.07,28112.93,21041.43,1.06,13625.32,42.49,2.69,40921.07,0.69
"2020",21394.32,18756.22,24207.45,1.21,11028.72,51.55,2.68,40921.07,0.46
"2021",12219.09,10712.38,35491.73,1.26,6335.54,51.85,2.04,40921.07,0.26
"2022",11366.54,9964.95,34367.38,0.58,2475,21.77,1.8,40921.07,0.24
"2023",14789.94,12966.21,28826.53,0.52,2754.29,18.62,2.04,40921.07,0.32
"2024",16385.71,14365.21,32337.44,0.33,2069.01,12.63,2.15,40921.07,0.35
