"MP","TAC2025","TAC2026","TAC2027","Canada 2.5%","Canada 97.5%","US 2.5%","US 97.5%","LRP2026","LRP2027","SSB2026","SSB2027","rec","file","grow"
1,0,0,0,192,674,489,2682,28,37,0.68,0.78,"BH","projBH.MP1",76
1,0,0,0,192,674,489,2682,30,39,0.69,0.83,"MEAN","projM.MP1",84
2,200,200,200,192,674,489,2682,28,37,0.67,0.76,"BH","projBH.MP2",74
2,200,200,200,192,674,489,2682,29,38,0.69,0.81,"MEAN","projM.MP2",82
3,400,400,400,192,674,489,2682,27,36,0.66,0.75,"BH","projBH.MP3",72
3,400,400,400,192,674,489,2682,28,37,0.68,0.8,"MEAN","projM.MP3",80
4,500,500,500,192,674,489,2682,27,36,0.66,0.74,"BH","projBH.MP4",71
4,500,500,500,192,674,489,2682,28,37,0.67,0.79,"MEAN","projM.MP4",80
5,600,600,600,192,674,489,2682,26,35,0.65,0.74,"BH","projBH.MP5",70
5,600,600,600,192,674,489,2682,28,36,0.67,0.78,"MEAN","projM.MP5",79
6,1000,1000,1000,192,674,489,2682,26,34,0.63,0.71,"BH","projBH.MP6",66
6,1000,1000,1000,192,674,489,2682,27,35,0.65,0.76,"MEAN","projM.MP6",76
7,2000,2000,2000,192,674,489,2682,24,31,0.59,0.64,"BH","projBH.MP7",57
7,2000,2000,2000,192,674,489,2682,25,32,0.61,0.69,"MEAN","projM.MP7",68
8,3000,3000,3000,192,674,489,2682,22,28,0.54,0.56,"BH","projBH.MP8",50
8,3000,3000,3000,192,674,489,2682,23,29,0.56,0.61,"MEAN","projM.MP8",60
9,4000,4000,4000,192,674,489,2682,21,25,0.5,0.49,"BH","projBH.MP9",44
9,4000,4000,4000,192,674,489,2682,22,26,0.52,0.54,"MEAN","projM.MP9",54
10,5000,5000,5000,192,674,489,2682,20,23,0.45,0.42,"BH","projBH.MP10",39
10,5000,5000,5000,192,674,489,2682,20,24,0.47,0.48,"MEAN","projM.MP10",49
11,6000,6000,6000,192,674,489,2682,18,20,0.41,0.35,"BH","projBH.MP11",34
11,6000,6000,6000,192,674,489,2682,19,21,0.43,0.41,"MEAN","projM.MP11",44
12,7000,7000,7000,192,674,489,2682,17,18,0.38,0.3,"BH","projBH.MP12",30
12,7000,7000,7000,192,674,489,2682,18,20,0.39,0.36,"MEAN","projM.MP12",39
13,8000,8000,8000,192,674,489,2682,16,17,0.34,0.26,"BH","projBH.MP13",26
13,8000,8000,8000,192,674,489,2682,17,18,0.36,0.33,"MEAN","projM.MP13",36
