"MP","TAC2025","TAC2026","TAC2027","Canada 2.5%","Canada 97.5%","US 2.5%","US 97.5%","LRP2026","LRP2027","SSB2026","SSB2027","rec","file","grow"
1,0,0,0,192,674,154,1678,21,29,0.57,0.66,"BH","projBH.MP1",77
1,0,0,0,192,674,154,1678,22,30,0.58,0.69,"MEAN","projM.MP1",83
2,250,250,250,192,674,154,1678,21,28,0.56,0.64,"BH","projBH.MP2",74
2,250,250,250,192,674,154,1678,21,29,0.56,0.67,"MEAN","projM.MP2",80
3,500,500,500,192,674,154,1678,20,28,0.55,0.62,"BH","projBH.MP3",70
3,500,500,500,192,674,154,1678,21,28,0.55,0.65,"MEAN","projM.MP3",78
4,750,750,750,192,674,154,1678,20,27,0.54,0.61,"BH","projBH.MP4",67
4,750,750,750,192,674,154,1678,20,27,0.54,0.64,"MEAN","projM.MP4",76
5,1000,1000,1000,192,674,154,1678,19,26,0.53,0.59,"BH","projBH.MP5",63
5,1000,1000,1000,192,674,154,1678,20,27,0.53,0.62,"MEAN","projM.MP5",73
6,1250,1250,1250,192,674,154,1678,19,26,0.52,0.57,"BH","projBH.MP6",61
6,1250,1250,1250,192,674,154,1678,19,26,0.52,0.6,"MEAN","projM.MP6",71
7,1500,1500,1500,192,674,154,1678,19,25,0.51,0.55,"BH","projBH.MP7",58
7,1500,1500,1500,192,674,154,1678,19,26,0.51,0.58,"MEAN","projM.MP7",68
8,1750,1750,1750,192,674,154,1678,18,24,0.49,0.53,"BH","projBH.MP8",56
8,1750,1750,1750,192,674,154,1678,19,25,0.5,0.56,"MEAN","projM.MP8",65
9,2000,2000,2000,192,674,154,1678,18,23,0.48,0.52,"BH","projBH.MP9",53
9,2000,2000,2000,192,674,154,1678,18,24,0.49,0.54,"MEAN","projM.MP9",63
10,3000,3000,3000,192,674,154,1678,17,21,0.44,0.43,"BH","projBH.MP10",45
10,3000,3000,3000,192,674,154,1678,17,21,0.44,0.47,"MEAN","projM.MP10",53
11,4000,4000,4000,192,674,154,1678,15,19,0.39,0.35,"BH","projBH.MP11",39
11,4000,4000,4000,192,674,154,1678,15,19,0.4,0.4,"MEAN","projM.MP11",46
12,6000,6000,6000,192,674,154,1678,12,15,0.3,0.22,"BH","projBH.MP12",27
12,6000,6000,6000,192,674,154,1678,12,15,0.3,0.27,"MEAN","projM.MP12",35
13,8000,8000,8000,192,674,154,1678,11,12,0.23,0.16,"BH","projBH.MP13",21
13,8000,8000,8000,192,674,154,1678,11,12,0.24,0.2,"MEAN","projM.MP13",29
