"MP","LRPy1","LRPy2","SSBy1","SSBy2","grow","TAC2025","Canada.2.5.","Canada.97.5.","US.2.5.","US.97.5."
1,"21.5% (21-22%)","29.5% (29-30%)","0.58 (0.57-0.58)","0.68 (0.66-0.69)","80 % (77-83%)",0,192,674,154,1678
2,"21% (21-21%)","28.5% (28-29%)","0.56 (0.56-0.56)","0.66 (0.64-0.67)","77 % (74-80%)",250,192,674,154,1678
3,"20.5% (20-21%)","28% (28-28%)","0.55 (0.55-0.55)","0.64 (0.62-0.65)","74 % (70-78%)",500,192,674,154,1678
4,"20% (20-20%)","27% (27-27%)","0.54 (0.54-0.54)","0.62 (0.61-0.64)","71.5 % (67-76%)",750,192,674,154,1678
5,"19.5% (19-20%)","26.5% (26-27%)","0.53 (0.53-0.53)","0.6 (0.59-0.62)","68 % (63-73%)",1000,192,674,154,1678
6,"19% (19-19%)","26% (26-26%)","0.52 (0.52-0.52)","0.58 (0.57-0.6)","66 % (61-71%)",1250,192,674,154,1678
7,"19% (19-19%)","25.5% (25-26%)","0.51 (0.51-0.51)","0.56 (0.55-0.58)","63 % (58-68%)",1500,192,674,154,1678
8,"18.5% (18-19%)","24.5% (24-25%)","0.5 (0.49-0.5)","0.54 (0.53-0.56)","60.5 % (56-65%)",1750,192,674,154,1678
9,"18% (18-18%)","23.5% (23-24%)","0.48 (0.48-0.49)","0.53 (0.52-0.54)","58 % (53-63%)",2000,192,674,154,1678
10,"17% (17-17%)","21% (21-21%)","0.44 (0.44-0.44)","0.45 (0.43-0.47)","49 % (45-53%)",3000,192,674,154,1678
11,"15% (15-15%)","19% (19-19%)","0.4 (0.39-0.4)","0.38 (0.35-0.4)","42.5 % (39-46%)",4000,192,674,154,1678
12,"12% (12-12%)","15% (15-15%)","0.3 (0.3-0.3)","0.24 (0.22-0.27)","31 % (27-35%)",6000,192,674,154,1678
13,"11% (11-11%)","12% (12-12%)","0.23 (0.23-0.24)","0.18 (0.16-0.2)","25 % (21-29%)",8000,192,674,154,1678
