"MP","LRPy1","LRPy2","SSBy1","SSBy2","grow","TAC2025","Canada.2.5.","Canada.97.5.","US.2.5.","US.97.5."
1,"30% (30-30%)","40% (40-40%)","0.72 (0.71-0.72)","0.84 (0.82-0.85)","84 % (82-86%)",0,192,674,154,1678
2,"29% (29-29%)","38% (38-38%)","0.7 (0.69-0.7)","0.8 (0.79-0.82)","80.5 % (78-83%)",400,192,674,154,1678
3,"28% (28-28%)","37% (37-37%)","0.69 (0.68-0.69)","0.8 (0.78-0.81)","79 % (77-81%)",600,192,674,154,1678
4,"27.5% (27-28%)","36.5% (36-37%)","0.68 (0.67-0.68)","0.78 (0.76-0.79)","77 % (74-80%)",800,192,674,154,1678
5,"27.5% (27-28%)","36% (36-36%)","0.66 (0.66-0.67)","0.76 (0.75-0.78)","75 % (72-78%)",1000,192,674,154,1678
6,"27% (27-27%)","35.5% (35-36%)","0.66 (0.66-0.67)","0.76 (0.74-0.77)","73.5 % (70-77%)",1200,192,674,154,1678
7,"26.5% (26-27%)","34.5% (34-35%)","0.66 (0.65-0.66)","0.74 (0.72-0.75)","71.5 % (68-75%)",1400,192,674,154,1678
8,"26.5% (26-27%)","34% (34-34%)","0.64 (0.64-0.65)","0.72 (0.71-0.74)","69.5 % (65-74%)",1600,192,674,154,1678
9,"25.5% (25-26%)","32.5% (32-33%)","0.62 (0.62-0.63)","0.7 (0.68-0.72)","65.5 % (61-70%)",2000,192,674,154,1678
10,"23.5% (23-24%)","29.5% (29-30%)","0.58 (0.58-0.59)","0.63 (0.61-0.65)","57.5 % (54-61%)",3000,192,674,154,1678
11,"22% (22-22%)","26.5% (26-27%)","0.54 (0.53-0.54)","0.55 (0.54-0.57)","49.5 % (46-53%)",4000,192,674,154,1678
12,"19% (19-19%)","21.5% (21-22%)","0.44 (0.44-0.45)","0.42 (0.39-0.44)","38.5 % (35-42%)",6000,192,674,154,1678
13,"16.5% (16-17%)","17.5% (17-18%)","0.36 (0.36-0.37)","0.31 (0.28-0.33)","30.5 % (27-34%)",8000,192,674,154,1678
