"Estimate","Low","High","year"
144690,46018,454933,1969
239889,97632,589429,1970
134703,54480,333055,1971
165055,67311,404734,1972
224185,92055,545969,1973
365235,150144,888457,1974
525605,216063,1278612,1975
262860,106271,650180,1976
107708,42664,271917,1977
134832,53049,342694,1978
189492,74348,482959,1979
63875,24502,166514,1980
213222,84778,536264,1981
399339,164458,969681,1982
951808,403602,2244637,1983
129952,51593,327327,1984
336832,134780,841785,1985
160917,65161,397390,1986
151569,61480,373668,1987
473380,192555,1163764,1988
498109,202870,1223010,1989
212635,86842,520644,1990
264350,108591,643524,1991
242650,98472,597924,1992
59852,23327,153566,1993
185266,72786,471567,1994
205332,78975,533851,1995
180130,68167,475992,1996
226121,85706,596583,1997
107437,39986,288666,1998
127476,48395,335780,1999
415261,176912,974732,2000
101845,41203,251735,2001
110255,45116,269444,2002
253911,108169,596018,2003
397048,175003,900829,2004
183084,78740,425705,2005
323028,140853,740823,2006
88665,36996,212491,2007
180277,79101,410864,2008
182231,79856,415852,2009
51284,20179,130335,2010
122067,51265,290653,2011
78191,31764,192479,2012
58579,22544,152210,2013
73503,28484,189679,2014
98598,37990,255898,2015
171069,66080,442864,2016
44857,16507,121901,2017
66648,25084,177084,2018
29256,11048,77473,2019
33942,13402,85960,2020
49371,19751,123414,2021
45698,16381,127486,2022
41131,12071,140151,2023
45555,9938,208819,2024
