"Estimate","Low","High","year"
365965,174749,766414,1969
341903,184082,635029,1970
289700,176153,476441,1971
226516,151836,337926,1972
177182,125252,250640,1973
163166,115633,230239,1974
170902,113817,256620,1975
230830,144444,368880,1976
264293,162979,428587,1977
235565,142358,389797,1978
194446,120953,312596,1979
165646,95565,287118,1980
131230,74067,232512,1981
126941,75302,213992,1982
173532,105760,284735,1983
332336,200502,550854,1984
438588,254784,754990,1985
422043,254052,701119,1986
379626,236605,609100,1987
340494,218872,529700,1988
365869,238091,562224,1989
375468,237155,594446,1990
332938,212862,520749,1991
287519,192497,429447,1992
235195,159843,346069,1993
184039,120531,281007,1994
145745,87692,242230,1995
129068,67815,245649,1996
112256,55296,227890,1997
98777,47421,205748,1998
79254,37149,169080,1999
72054,37693,137738,2000
107452,57791,199787,2001
151697,87228,263813,2002
157018,102621,240250,2003
153361,120292,195520,2004
150344,117414,192510,2005
125223,97909,160158,2006
118090,88461,157644,2007
92032,59980,141213,2008
78914,63762,97668,2009
61475,46824,80711,2010
33785,18345,62218,2011
29773,15141,58543,2012
32634,16968,62764,2013
31789,16782,60214,2014
29073,15531,54423,2015
30083,15475,58481,2016
41350,20893,81836,2017
42497,20693,87277,2018
31785,15762,64097,2019
21605,10808,43189,2020
13106,7698,22314,2021
13718,7381,25497,2022
16551,7524,36409,2023
17749,6607,47681,2024
