"Estimate","Low","High","year"
421381,201211,882468,1969
393676,211957,731189,1970
333568,202826,548585,1971
260816,174828,389097,1972
204011,144219,288594,1973
187873,133142,265102,1974
196781,131051,295479,1975
265784,166317,424737,1976
304313,187658,493486,1977
271235,163915,448822,1978
223890,139268,359931,1979
190728,110036,330595,1980
151102,85282,267720,1981
146163,86705,246395,1982
199809,121774,327851,1983
382660,230863,634267,1984
505001,293365,869314,1985
485951,292521,807285,1986
437111,272432,701333,1987
392053,252014,609910,1988
421271,274144,647358,1989
432323,273067,684460,1990
383353,245094,599603,1991
331056,221646,494475,1992
270809,184047,398472,1993
211907,138783,323559,1994
167814,100970,278909,1995
148612,78083,282846,1996
129254,63669,262399,1997
113734,54602,236903,1998
91254,42774,194683,1999
82965,43401,158594,2000
123723,66542,230039,2001
174667,100436,303761,2002
180794,118160,276630,2003
176583,138508,225126,2004
173110,135194,221661,2005
144185,112735,184410,2006
135972,101856,181515,2007
105968,69062,162596,2008
90864,73417,112458,2009
70784,53914,92932,2010
38901,21123,71640,2011
34281,17434,67407,2012
37576,19537,72268,2013
36602,19324,69331,2014
33476,17883,62664,2015
34638,17818,67337,2016
47611,24057,94229,2017
48932,23826,100493,2018
36598,18148,73803,2019
24877,12445,49729,2020
15091,8864,25693,2021
15796,8499,29358,2022
19057,8663,41922,2023
20436,7607,54901,2024
