"Estimate","Low","High","year"
503411,266088,952403,1969
442369,262837,744530,1970
367081,237916,566369,1971
275158,188311,402058,1972
225331,160086,317168,1973
229460,158306,332596,1974
273395,171740,435220,1975
326169,195454,544302,1976
324619,199024,529470,1977
271665,162572,453964,1978
222026,134456,366630,1979
176525,96993,321273,1980
156729,86572,283738,1981
187324,108099,324613,1982
331646,195062,563867,1983
440592,260811,744297,1984
501240,295147,851241,1985
458178,275462,762091,1986
407838,253210,656893,1987
402041,258173,626079,1988
468189,302456,724738,1989
444697,278912,709024,1990
393930,251784,616324,1991
332342,222342,496762,1992
261184,176388,386743,1993
210702,135856,326784,1994
176889,102344,305731,1995
159834,79483,321413,1996
145419,67127,315022,1997
124771,56083,277582,1998
98659,44448,218985,1999
120205,59210,244033,2000
146599,74613,288034,2001
182545,104444,319050,2002
197143,131328,295941,2003
218022,169069,281150,2004
201905,156641,260248,2005
181775,142491,231888,2006
152873,113837,205295,2007
124894,85487,182466,2008
111617,91913,135545,2009
74656,62372,89359,2010
44153,31066,62754,2011
37757,19110,74602,2012
37622,19172,73827,2013
38412,19942,73989,2014
39732,20682,76329,2015
55508,28157,109429,2016
63800,31804,127987,2017
56371,29049,109391,2018
39760,21549,73359,2019
26099,16059,42416,2020
18207,12205,27162,2021
17402,8816,34350,2022
19891,8520,46436,2023
21227,7218,62426,2024
