"year","TEP_e12","Catch_lwr","Catch_upr"
"1969",NA,21372.4,33372.301
"1970",NA,23916.4,35490.367
"1971",NA,27426.8,37665.984
"1972",NA,24997.2,35210.212
"1973",NA,42672.2,50863.811
"1974",NA,49328.9,56733.876
"1975",NA,40278.6,49082.705
"1976",NA,36913.9,46480.073
"1977",NA,25316.9,35112.084
"1978",NA,28809.9,38428.321
"1979",415.708049,34071.2,43449.335
"1980",NA,25062.2,35687.393
"1981",NA,22404.0815376,35054.5821504
"1982",NA,19062.7169598,31793.9548392
"1983",108.1841939,23106.088244,36329.212976
"1984",358.959339,21790.3626696,36414.5546784
"1985",678.2772571,36140.592796,50726.933184
"1986",1017.981433,37666.2051,56180.1414
"1987",542.5504319,34287.92638,54696.14852
"1988",455.0137732,31063.472622,50444.767488
"1989",538.0210737,26345.6983841135,44745.160536454
"1990",354.4324009,31964.3774535621,64933.0768142482
"1991",NA,34062.3083514379,64656.3354057515
"1992",583.2116683,32013.843806649,52598.1372265959
"1993",683.3664696,31298.4574415432,48473.4097661728
"1994",315.6243543,25565.0853574345,46448.2884297381
"1995",NA,21196.4823430662,38625.7991722649
"1996",94.33300076,25979.7381447679,48695.8215790716
"1997",NA,26906.4257924694,48837.6933698776
"1998",74.67180557,24127.035105166,45295.7008206639
"1999",NA,20862.9629360124,41253.8077440494
"2000",112.6558212,18860.7676049943,34817.6316199772
"2001",24.02611041,29563.0580029173,49624.247011669
"2002",266.151951,43610.104136864,71038.746747456
"2003",246.1693759,55903.3432832934,86777.1215331737
"2004",267.2377135,70700.4420369098,114103.951147639
"2005",119.1653454,68975.1279823134,104291.094929253
"2006",45.96162975,70490.4055139864,114850.897255946
"2007",87.14504126,63697.3815580374,88863.4654321497
"2008",98.36700379,37080.6059552363,63354.8628209454
"2009",69.76867973,50978.7461526669,75899.0462106675
"2010",25.7264754,44834.909354223,63646.7394168919
"2011",29.51261881,12896.8441869315,24073.811547726
"2012",10.8644047,8628.05090036005,17719.4788014402
"2013",38.41038751,10419.608391321,20302.8667652838
"2014",47.73541203,8537.32209501874,15450.367580075
"2015",45.63544487,5892.00233928622,11603.9117571449
"2016",49.52030558,10169.738322128,18151.6666885121
"2017",75.58528359,12232.2885614951,19672.3922459802
"2018",45.36617305,13778.0058698671,22388.6916794685
"2019",99.61985628,10804.7741585302,16969.3846341208
"2020",NA,10467.755216733,18000.7618669319
"2021",16.41576787,6153.32316390164,11057.4836556066
"2022",39.2880521,474.9144,2320.904
"2023",78.054260116,772.204225196194,3546.98730078478
"2024",15.1060921,946.939278648149,2600.06639605745
"2025",53.0412996,939.893310205218,3031.78066482087
