"year","age","caa_1000","prop_mature","stock_weight_kg","catch_weight_kg","fecundity"
"1969","1",5692,0.296,0.128,0.177,260999
"1969","2",26359,0.71,0.27,0.294,359015
"1969","3",18057,0.893,0.361,0.358,467672
"1969","4",2027,0.952,0.429,0.458,543634
"1969","5",929,1,0.498,0.499,599853
"1969","6",855,1,0.55,0.568,646493
"1969","7",1099,1,0.588,0.592,679357
"1969","8",440,1,0.628,0.618,723172
"1969","9",462,1,0.661,0.645,737012
"1969","10",9656,1,0.714,0.673,805010
"1970","1",20277,0.293,0.127,0.177,260618
"1970","2",3654,0.703,0.268,0.294,358490
"1970","3",33584,0.888,0.356,0.358,466989
"1970","4",8047,0.949,0.42,0.458,542840
"1970","5",2496,1,0.491,0.499,598976
"1970","6",451,1,0.545,0.568,645549
"1970","7",425,1,0.583,0.592,678364
"1970","8",1578,1,0.623,0.618,722115
"1970","9",1645,1,0.656,0.645,735935
"1970","10",4335,1,0.709,0.673,803834
"1971","1",7156,0.287,0.128,0.177,260217
"1971","2",7389,0.692,0.267,0.294,357940
"1971","3",1702,0.882,0.353,0.358,466272
"1971","4",35931,0.946,0.415,0.458,542006
"1971","5",7620,1,0.481,0.499,598056
"1971","6",1753,1,0.537,0.568,644557
"1971","7",2203,1,0.578,0.592,677322
"1971","8",1526,1,0.617,0.618,721006
"1971","9",1879,1,0.65,0.645,734804
"1971","10",5517,1,0.703,0.673,802599
"1972","1",1,0.274,0.128,0.177,259797
"1972","2",136,0.676,0.268,0.294,357362
"1972","3",4401,0.874,0.352,0.358,465519
"1972","4",5541,0.942,0.411,0.458,541131
"1972","5",24826,1,0.474,0.499,597090
"1972","6",4975,1,0.526,0.568,643516
"1972","7",5248,1,0.569,0.592,676229
"1972","8",77,1,0.61,0.618,719842
"1972","9",546,1,0.643,0.645,733618
"1972","10",6833,1,0.696,0.673,801304
"1973","1",9176,0.253,0.127,0.177,259356
"1973","2",20624,0.661,0.267,0.294,356755
"1973","3",9649,0.869,0.352,0.358,464729
"1973","4",9333,0.939,0.409,0.458,540212
"1973","5",13972,1,0.469,0.499,596077
"1973","6",22293,1,0.517,0.568,642424
"1973","7",8317,1,0.556,0.592,675081
"1973","8",2771,1,0.6,0.618,718620
"1973","9",837,1,0.635,0.645,732373
"1973","10",1603,1,0.687,0.673,799943
"1974","1",8618,0.229,0.132,0.177,258893
"1974","2",24340,0.659,0.277,0.294,356119
"1974","3",26703,0.877,0.365,0.358,463900
"1974","4",14602,0.944,0.426,0.458,539249
"1974","5",12594,1,0.486,0.499,595013
"1974","6",12417,1,0.533,0.568,641278
"1974","7",15377,1,0.569,0.592,673876
"1974","8",4053,1,0.611,0.618,717338
"1974","9",1714,1,0.651,0.645,731066
"1974","10",1749,1,0.707,0.673,798516
"1975","1",14206,0.217,0.139,0.177,258705
"1975","2",24905,0.688,0.289,0.294,355859
"1975","3",13049,0.904,0.381,0.358,463562
"1975","4",11636,0.958,0.444,0.458,538856
"1975","5",7052,1,0.509,0.499,594580
"1975","6",7526,1,0.554,0.568,640811
"1975","7",5456,1,0.589,0.592,673386
"1975","8",3917,1,0.628,0.618,716815
"1975","9",825,1,0.665,0.645,730534
"1975","10",581,1,0.727,0.673,797935
"1976","1",5080,0.238,0.146,0.177,258727
"1976","2",37835,0.734,0.299,0.294,355890
"1976","3",28806,0.929,0.39,0.358,463602
"1976","4",6419,0.97,0.454,0.458,538903
"1976","5",4401,1,0.52,0.499,594632
"1976","6",2359,1,0.569,0.568,640866
"1976","7",2919,1,0.601,0.592,673444
"1976","8",2008,1,0.638,0.618,716877
"1976","9",1341,1,0.671,0.645,730597
"1976","10",636,1,0.729,0.673,798004
"1977","1",4738,0.287,0.151,0.123,258896
"1977","2",14741,0.778,0.31,0.297,356122
"1977","3",29710,0.937,0.4,0.378,463903
"1977","4",8831,0.973,0.46,0.435,539253
"1977","5",1637,1,0.527,0.51,595018
"1977","6",913,1,0.576,0.56,641283
"1977","7",616,1,0.612,0.628,673882
"1977","8",656,1,0.644,0.655,717344
"1977","9",402,1,0.675,0.668,731072
"1977","10",416,1,0.728,0.73,798523
"1978","1",78,0.333,0.156,0.184,259017
"1978","2",2801,0.81,0.321,0.309,356289
"1978","3",12088,0.931,0.413,0.41,464121
