"","1","2","3","4","5","6","7","8","9","10"
"1969",115.29,887.33,293.78,39.11,12.19,12.59,26.02,14.08,5.56,116.29
"1970",208.14,80.17,660.65,144.64,30.81,7.68,9.04,19.55,10.9,75.26
"1971",114.31,136.36,49.95,450.54,77.83,20.41,5.86,6.94,14.35,64.55
"1972",150.49,70.06,80.97,56.65,233.7,43.14,18.1,3.49,4.48,53.01
"1973",201.89,139.13,64.72,57.98,53.94,104.21,27.23,11.7,2.59,19.77
"1974",361.03,142.68,106.2,48.84,41.23,34.84,45.32,13.42,6.01,9.41
"1975",553.8,290.06,82.31,54.65,26.86,26.16,16.99,18.24,5.73,5.86
"1976",246.13,477.85,213.33,44.28,25.46,13.39,14.19,8.83,8.34,5.13
"1977",82.14,188.39,388.47,127.37,25.49,13.51,8.02,8.17,4.73,6.47
"1978",115.77,48.95,126.47,234.92,87.01,20.62,9.38,5.22,5.05,5.78
"1979",158.67,86.39,26.67,65.76,123.75,58.83,17.28,6.57,3.48,6.08
"1980",45.68,107.19,53.19,20.72,38.04,63.6,32.99,10.54,4,5.14
"1981",198.49,29.35,66.79,22.46,15.33,25.73,33.23,15.59,5.93,4.58
"1982",373.76,140.54,17.16,31.81,5.91,9.6,14.79,23.05,8.13,6.25
"1983",954.85,297.34,96.61,10.52,14.4,2.63,3.74,6.87,12.21,7.36
"1984",111.43,888.71,219.8,23.25,4.08,7.57,1.66,2.12,4.75,23.94
"1985",313.36,85.77,795.25,130.32,9.38,2.4,4.98,1.14,1.28,19.81
"1986",132.25,222.98,74.62,569.34,85.06,5.65,1.75,2.68,0.71,9.52
"1987",128,86.26,133.73,46.74,440.68,62.45,3.22,1.23,1.48,5.51
"1988",454.3,83.4,47.32,55.54,30.24,369.08,41.82,2.06,0.82,4.72
"1989",489.78,341.44,52.6,27.75,26.89,15.61,348.2,24.91,1.34,3.89
"1990",190.04,395.13,223.74,31.86,18.82,17.18,11.22,244,15.45,3.19
"1991",226.51,139.03,306.62,141.76,17.79,12.24,11.71,7.84,152.08,10.63
"1992",215.8,164.67,86.61,212.56,92.81,12.36,7.28,7.29,4.89,85.7
"1993",44.43,151.44,104.49,49.93,150.86,61.23,8.13,4.39,4.19,42.61
"1994",163.76,27.15,116.23,82.95,25.31,92.89,31.13,4.64,2.48,16.9
"1995",185.28,113.82,14.97,72.61,51.11,13.34,46.98,15.63,2.42,7.32
"1996",165.13,128.76,69.67,7.92,36.92,32.71,6.76,26.43,7.5,4.13
"1997",212.46,117.96,78.58,32.35,3.78,17.11,14.83,2.87,12.02,4.23
"1998",92.68,153.96,66.18,40.97,13.91,1.35,6.29,5.29,0.99,4.69
"1999",115.41,61.02,87.71,31.58,15.98,4.54,0.52,1.87,1.56,1.35
"2000",440.51,77.84,30.1,36.46,9.96,5.18,1.06,0.16,0.49,0.63
"2001",91.31,359.74,44.04,13,12.63,2.6,1.46,0.25,0.05,0.23
"2002",95.31,62.02,353.54,26.78,6.26,5.14,0.95,0.37,0.07,0.08
"2003",244.85,62.47,37.57,274.43,17.79,3.08,2.3,0.39,0.1,0.05
"2004",397.36,188.6,36.05,21.76,171.82,6.69,1.69,1,0.14,0.04
"2005",172.54,299.2,113.43,17.38,9.95,75.67,2.64,0.61,0.23,0.06
"2006",321.67,115.82,175.82,56.17,7.34,3.39,23.75,0.71,0.18,0.05
"2007",77.33,229.53,64.19,96.77,16.59,2.13,0.89,7.83,0.14,0.05
"2008",173.04,48.37,137.85,29.52,40.46,3.78,0.53,0.22,2.81,0.04
"2009",171.56,115.85,23.84,68.11,11.33,15.73,0.97,0.12,0.05,1.03
"2010",42.83,109.66,52.76,7.1,19.83,2.3,3.2,0.2,0.02,0.22
"2011",111.25,22.33,40.53,10.03,0.88,2.7,0.26,0.31,0.02,0.02
"2012",68.04,71.71,7.34,10.15,1.01,0.07,0.15,0.02,0.02,0
"2013",45.86,50.65,37.32,1.68,2.67,0.18,0.01,0.01,0,0
"2014",58.18,31.03,31.79,17.19,0.57,0.39,0.02,0,0,0
"2015",84.07,40.44,17.16,13.77,4.79,0.31,0.06,0.01,0,0
"2016",163.16,59.12,20.26,8.18,5.19,1.69,0.06,0.01,0,0
"2017",38.38,133.05,34.03,8.41,2.91,1.74,0.42,0.01,0,0
"2018",56.2,27.9,80.84,15.53,3.01,0.77,0.42,0.07,0,0
"2019",22.28,40.22,21.15,30.92,4.81,0.93,0.25,0.12,0.02,0
"2020",26.92,14.14,22.1,8.07,10.99,1.37,0.27,0.07,0.03,0
"2021",41.05,17.46,7.11,8.2,2.41,1.74,0.24,0.09,0.02,0.01
"2022",39.48,29.08,8.57,2.45,1.91,0.65,0.36,0.04,0.03,0.01
"2023",33.88,31.06,21.22,5.41,1.53,0.87,0.23,0.15,0.02,0.02
"2024",51.77,24.29,20.39,12.45,2.75,1.21,0.35,0.09,0.07,0.02
"2025",56.59,39.73,15.92,11.49,7.03,1.55,0.7,0.21,0.05,0.05
