"MP","TAC2026","TAC2027","TAC2028","Canada 2.5%","Canada 97.5%","US 2.5%","US 97.5%","LRP2027","LRP2028","SSB2027","SSB2028","rec","file","Grow2028","Grow2027"
1,0,0,0,192,674,1387,11719,38,40,0.77,0.8,"BH","projBH.MP1",53,55
1,0,0,0,192,674,1387,11719,38,43,0.79,0.86,"MEAN","projM.MP1",62,62
2,250,250,250,192,674,1387,11719,37,40,0.76,0.79,"BH","projBH.MP2",51,54
2,250,250,250,192,674,1387,11719,38,42,0.78,0.84,"MEAN","projM.MP2",61,61
3,500,500,500,192,674,1387,11719,37,39,0.75,0.77,"BH","projBH.MP3",51,53
3,500,500,500,192,674,1387,11719,37,42,0.77,0.82,"MEAN","projM.MP3",60,60
4,540,540,540,192,674,1387,11719,37,39,0.75,0.77,"BH","projBH.MP4",50,52
4,540,540,540,192,674,1387,11719,37,42,0.77,0.82,"MEAN","projM.MP4",60,60
5,575,575,575,192,674,1387,11719,37,39,0.74,0.77,"BH","projBH.MP5",50,52
5,575,575,575,192,674,1387,11719,37,42,0.76,0.82,"MEAN","projM.MP5",60,60
6,600,600,600,192,674,1387,11719,37,39,0.74,0.77,"BH","projBH.MP6",50,52
6,600,600,600,192,674,1387,11719,37,42,0.76,0.82,"MEAN","projM.MP6",60,60
7,750,750,750,192,674,1387,11719,37,38,0.74,0.76,"BH","projBH.MP7",50,52
7,750,750,750,192,674,1387,11719,37,42,0.76,0.81,"MEAN","projM.MP7",59,59
8,1000,1000,1000,192,674,1387,11719,36,38,0.73,0.74,"BH","projBH.MP8",49,50
8,1000,1000,1000,192,674,1387,11719,37,41,0.75,0.79,"MEAN","projM.MP8",58,58
9,2000,2000,2000,192,674,1387,11719,34,35,0.68,0.68,"BH","projBH.MP9",45,46
9,2000,2000,2000,192,674,1387,11719,35,38,0.71,0.73,"MEAN","projM.MP9",53,53
10,3000,3000,3000,192,674,1387,11719,32,32,0.64,0.61,"BH","projBH.MP10",41,42
10,3000,3000,3000,192,674,1387,11719,33,35,0.67,0.67,"MEAN","projM.MP10",48,49
11,4000,4000,4000,192,674,1387,11719,30,30,0.61,0.55,"BH","projBH.MP11",37,38
11,4000,4000,4000,192,674,1387,11719,32,33,0.63,0.61,"MEAN","projM.MP11",45,45
12,6000,6000,6000,192,674,1387,11719,26,26,0.52,0.43,"BH","projBH.MP12",30,32
12,6000,6000,6000,192,674,1387,11719,29,29,0.55,0.5,"MEAN","projM.MP12",38,38
13,8000,8000,8000,192,674,1387,11719,24,23,0.45,0.34,"BH","projBH.MP13",25,27
13,8000,8000,8000,192,674,1387,11719,26,26,0.48,0.4,"MEAN","projM.MP13",33,31
