"MP","LRPy1","LRPy2","SSBy1","SSBy2","Growy1","Growy2","TAC2026","Canada.2.5.","Canada.97.5.","US.2.5.","US.97.5."
1,"37.5% (37-38%)","41.5% (40-43%)","0.76 (0.75-0.78)","0.81 (0.79-0.84)","55.5 (51-60)","57.5 (54-61)",0,192,674,1464,12105
2,"37.5% (37-38%)","40.5% (39-42%)","0.76 (0.74-0.77)","0.8 (0.78-0.82)","55 (50-60)","56.5 (53-60)",250,192,674,1464,12105
3,"36.5% (36-37%)","39.5% (38-41%)","0.74 (0.73-0.76)","0.78 (0.76-0.81)","53.5 (49-58)","55.5 (52-59)",500,192,674,1464,12105
4,"36.5% (36-37%)","39.5% (38-41%)","0.74 (0.73-0.76)","0.78 (0.76-0.8)","53.5 (49-58)","55 (51-59)",540,192,674,1464,12105
5,"36.5% (36-37%)","39.5% (38-41%)","0.74 (0.73-0.76)","0.78 (0.75-0.8)","53.5 (49-58)","55 (51-59)",575,192,674,1464,12105
6,"36.5% (36-37%)","39.5% (38-41%)","0.74 (0.73-0.76)","0.78 (0.75-0.8)","53.5 (49-58)","54.5 (51-58)",600,192,674,1464,12105
7,"36% (36-36%)","39% (38-40%)","0.74 (0.72-0.75)","0.76 (0.74-0.79)","52.5 (48-57)","54 (50-58)",750,192,674,1464,12105
8,"35.5% (35-36%)","38.5% (37-40%)","0.72 (0.71-0.74)","0.75 (0.73-0.77)","51.5 (47-56)","53 (49-57)",1000,192,674,1464,12105
9,"33.5% (33-34%)","35.5% (34-37%)","0.69 (0.67-0.7)","0.69 (0.66-0.71)","47.5 (43-52)","48.5 (45-52)",2000,192,674,1464,12105
10,"32% (31-33%)","33.5% (32-35%)","0.64 (0.63-0.66)","0.62 (0.6-0.65)","44 (40-48)","44.5 (40-49)",3000,192,674,1464,12105
11,"30% (29-31%)","31.5% (30-33%)","0.6 (0.59-0.62)","0.56 (0.54-0.59)","39.5 (36-43)","41.5 (38-45)",4000,192,674,1464,12105
12,"27% (26-28%)","27.5% (26-29%)","0.54 (0.52-0.55)","0.45 (0.42-0.48)","33 (29-37)","34.5 (32-37)",6000,192,674,1464,12105
13,"25% (24-26%)","24% (22-26%)","0.45 (0.44-0.47)","0.36 (0.33-0.4)","28.5 (24-33)","29 (27-31)",8000,192,674,1464,12105
