year,model,nugget,psill,range,rsq,rss
1979,Sphérique,13 150,42 840,249.6,0.993,2910000
1980,,,,,,
1981,,,,,,
1982,,,,,,
1983,Sphérique,10,7 872,144.4,0.988,1340000
1984,Sphérique,8 970,23 700,256.8,0.935,9340000
1985,Sphérique,15 200,59 290,194.1,0.97,32900000
1986,Sphérique,6 700,194 700,79,0.924,307000000
1987,Sphérique,4 200,130 000,74,0.891,189000000
1988,Exponentiel,12 800,101 300,68.5,0.973,101000000
1989,Sphérique,1 790,15 690,143.4,0.96,27300000
1990,Sphérique,8 340,24 700,256.2,0.918,13200000
1991,Sphérique,10,28 200,67.3,0.912,63400000
1992,Sphérique,50 700,101 500,182.3,0.91,146000000
1993,Exponentiel,17 100,127 800,201.1,0.973,246000000
1994,Sphérique,10,20 890,110.1,0.974,5720000
1995,,,,,,
1996,Sphérique,1,1 930,119.6,0.942,231000
1997,,,,,,
1998,Sphérique,1,844,99.3,0.955,13300
1999,,,,,,
2000,Sphérique,351,702,189.8,0.938,3420
2001,,,,,,
2002,Sphérique,810,11 340,188.9,0.989,547000
2003,Sphérique,10,22 910,231.7,0.974,8760000
2004,Sphérique,1 510,4 712,216.1,0.939,376000
2005,Sphérique,10,4 875,121.5,0.905,1900000
2006,,,,,,
2007,Sphérique,10,9 924,105.6,0.947,0.00000754
2008,Sphérique,10,7 849,90.4,0.827,0.00000689
2009,Sphérique,10,3 540,53.9,0.934,181000
2010,Sphérique,1,347,60.4,0.864,6880
2011,Sphérique,1,434,127,0.9,1330
2012,Sphérique,0,37,80.4,0.888,199
2013,Sphérique,218,928,95.2,0.954,9960
2014,Exponentiel,0,7488.273,0.9021119,,
2015,Exponentiel,0,1817.356,36331.1,,
2016,Exponentiel,172.2593,48435.018,12426397,,
2017,Exponentiel,0,3058.712,58421.67,,
2018,Exponential,0,4980.49,37681.54,,
2019,,,,,,
