year,spawning_start,spawning_peak,spawning_end,spawning_duration,median_date,mean_temperature_0_10m,sd_temperature_0_10m,min_temperature_0_10,max_temperature_0_10,mean_incubation_time_h,sd_incubation,min_incubation,max_incubation
1979,138,176,229,91,166.5,12,1.5,8.8,15.2,44.6,9.4,29.3,70.7
1980,,,,,,,,,,,,,
1981,,,,,,,,,,,,,
1982,,,,,,,,,,,,,
1983,154,172,192,38,177.5,14,1.6,11,17.3,34.5,6.7,23.8,49.4
1984,144,173,209,65,176,10.8,1.8,6.3,13.7,54.6,19,34.7,121.1
1985,140,174,219,79,176.5,11.1,1.6,6.1,14.7,51.7,16.7,31,127.6
1986,137,173,221,84,172.5,11.5,1.7,8.5,14.5,48.1,12.2,31.6,74.8
1987,163,172,206,43,172.5,11.5,1.3,8.6,14.1,47.6,9.2,33.1,73.4
1988,152,174,200,48,172.5,9.7,1.9,6.1,13.6,65.6,21.7,34.9,126.2
1989,155,168,235,80,174.5,11.3,1.8,7.3,15.6,49.7,14.1,28.1,96.4
1990,165,177,230,65,170,10,1.6,6.9,13.1,61.2,16.7,37.5,104.9
1991,153,166,226,73,172,9.8,2.4,5.4,15.9,68,30.9,27.3,154.8
1992,146,176,214,68,172,11.2,2,7.3,14.6,52,17.1,31.3,95.7
1993,146,179,221,75,170,9.7,1.9,5.1,13.5,66.4,27.2,35.7,170.7
1994,168,175,205,37,168.5,9,2,5.2,12.1,77.3,33.6,42.3,165.5
1995,,,,,,,,,,,,,
1996,164,172,204,40,172.5,11.2,1.7,7.4,14.9,50.5,13.3,30.3,94.5
1997,,,,,,,,,,,,,
1998,159,167,198,39,167,10.6,1.3,6.8,12.4,54.2,12.7,40.6,107.9
1999,,,,,,,,,,,,,
2000,163,172,208,45,174,10.9,1.8,7.3,13.9,53.1,16.5,33.8,96.1
2001,,,,,,,,,,,,,
2002,158,168,211,53,171.5,9.5,1.9,6,13.1,68.1,24.3,37.4,131.8
2003,163,170,199,36,171.5,9.7,2.1,5.8,14.2,66.6,23.6,32.6,138
2004,169,175,199,30,169.5,8.5,1.1,6.6,11.2,78.3,17.2,47.8,113
2005,166,173,199,33,170,8.770491803,1.2,6.3,11.9,73.9,16.9,43.5,121.1
2006,159,167,198,39,184,13.97460317,1.6,9.3,16.7,34.7,8.2,25.3,64.6
2007,171,177,194,23,176,11.72153846,1.4,9,14.4,45.9,8.7,32,68.1
2008,171,176,193,22,176.5,12.45471698,1.7,8.9,15.6,42.1,9.6,28.1,69.1
2009,167,174,197,30,168.5,10.7984127,1.1,8.8,13,52.2,9.1,37.9,71.4
2010,162,170,194,32,168,9.341538462,1.7,6.3,12.4,69,21,40.6,122.4
2011,158,166,189,31,166,9.4703125,1.3,6,12.4,65.8,16.9,40.7,130.7
2012,155,163,171,16,167,11.02769231,1,7.6,12.8,50.1,8.3,38.5,89
2013,166,172,178,12,166.5,9.390769231,0.9,7.9,11.8,64.9,9.7,44.4,84.1
2014,144,166,192,48,166,9.987058824,1.4,5.79,13.41,60.3,15.5,35.9,138.7
2015,152,172,196,44,167,9.564,1.4,6.8,12.2,64.86,16.63,41.57,108.12
2016,134,163,199,65,169,8.11015625,1.2,4.6,11.6,84.57,23.28,45.64,198.86
2017,157,174,193,37,164,8.942307692,1.4,6.4,11.9,72.66,19.22,43.27,117.19
2018,151,169,189,38,172,8.969,1.230506,6.54,11.77,71.43,16.65465,44.28,114.04
2019,,,,,,,,,,,,,
