year,age,caan,caaw,waa,waa.sd,laa,laa.sd,zero,waa.interpol,note
1968,1,43062,NA,NA,NA,NA,NA,NA,0.177079222,old
1968,2,7157,NA,NA,NA,NA,NA,NA,0.294057302,old
1968,3,10343,NA,NA,NA,NA,NA,NA,0.357661542,old
1968,4,7393,NA,NA,NA,NA,NA,NA,0.458128095,old
1968,5,2819,NA,NA,NA,NA,NA,NA,0.498747629,old
1968,6,1349,NA,NA,NA,NA,NA,NA,0.567788643,old
1968,7,721,NA,NA,NA,NA,NA,NA,0.591951249,old
1968,8,1658,NA,NA,NA,NA,NA,NA,0.61822417,old
1968,9,10425,NA,NA,NA,NA,NA,NA,0.645104219,old
1968,10,97,NA,NA,NA,NA,NA,NA,0.673036736,old
1969,1,5692,NA,NA,NA,NA,NA,NA,0.177079222,old
1969,2,26359,NA,NA,NA,NA,NA,NA,0.294057302,old
1969,3,18057,NA,NA,NA,NA,NA,NA,0.357661542,old
1969,4,2027,NA,NA,NA,NA,NA,NA,0.458128095,old
1969,5,929,NA,NA,NA,NA,NA,NA,0.498747629,old
1969,6,855,NA,NA,NA,NA,NA,NA,0.567788643,old
1969,7,1099,NA,NA,NA,NA,NA,NA,0.591951249,old
1969,8,440,NA,NA,NA,NA,NA,NA,0.61822417,old
1969,9,462,NA,NA,NA,NA,NA,NA,0.645104219,old
1969,10,9656,NA,NA,NA,NA,NA,NA,0.673036736,old
1970,1,20277,NA,NA,NA,NA,NA,NA,0.177079222,old
1970,2,3654,NA,NA,NA,NA,NA,NA,0.294057302,old
1970,3,33584,NA,NA,NA,NA,NA,NA,0.357661542,old
1970,4,8047,NA,NA,NA,NA,NA,NA,0.458128095,old
1970,5,2496,NA,NA,NA,NA,NA,NA,0.498747629,old
1970,6,451,NA,NA,NA,NA,NA,NA,0.567788643,old
1970,7,425,NA,NA,NA,NA,NA,NA,0.591951249,old
1970,8,1578,NA,NA,NA,NA,NA,NA,0.61822417,old
1970,9,1645,NA,NA,NA,NA,NA,NA,0.645104219,old
1970,10,4335,NA,NA,NA,NA,NA,NA,0.673036736,old
1971,1,7156,NA,NA,NA,NA,NA,NA,0.177079222,old
1971,2,7389,NA,NA,NA,NA,NA,NA,0.294057302,old
1971,3,1702,NA,NA,NA,NA,NA,NA,0.357661542,old
1971,4,35931,NA,NA,NA,NA,NA,NA,0.458128095,old
1971,5,7620,NA,NA,NA,NA,NA,NA,0.498747629,old
1971,6,1753,NA,NA,NA,NA,NA,NA,0.567788643,old
1971,7,2203,NA,NA,NA,NA,NA,NA,0.591951249,old
1971,8,1526,NA,NA,NA,NA,NA,NA,0.61822417,old
1971,9,1879,NA,NA,NA,NA,NA,NA,0.645104219,old
1971,10,5517,NA,NA,NA,NA,NA,NA,0.673036736,old
1972,1,1,NA,NA,NA,NA,NA,NA,0.177079222,old
1972,2,136,NA,NA,NA,NA,NA,NA,0.294057302,old
1972,3,4401,NA,NA,NA,NA,NA,NA,0.357661542,old
1972,4,5541,NA,NA,NA,NA,NA,NA,0.458128095,old
1972,5,24826,NA,NA,NA,NA,NA,NA,0.498747629,old
1972,6,4975,NA,NA,NA,NA,NA,NA,0.567788643,old
1972,7,5248,NA,NA,NA,NA,NA,NA,0.591951249,old
1972,8,77,NA,NA,NA,NA,NA,NA,0.61822417,old
1972,9,546,NA,NA,NA,NA,NA,NA,0.645104219,old
1972,10,6833,NA,NA,NA,NA,NA,NA,0.673036736,old
1973,1,9176,NA,NA,NA,NA,NA,NA,0.177079222,old
1973,2,20624,NA,NA,NA,NA,NA,NA,0.294057302,old
1973,3,9649,NA,NA,NA,NA,NA,NA,0.357661542,old
1973,4,9333,NA,NA,NA,NA,NA,NA,0.458128095,old
1973,5,13972,NA,NA,NA,NA,NA,NA,0.498747629,old
1973,6,22293,NA,NA,NA,NA,NA,NA,0.567788643,old
1973,7,8317,NA,NA,NA,NA,NA,NA,0.591951249,old
1973,8,2771,NA,NA,NA,NA,NA,NA,0.61822417,old
1973,9,837,NA,NA,NA,NA,NA,NA,0.645104219,old
1973,10,1603,NA,NA,NA,NA,NA,NA,0.673036736,old
1974,1,8618,NA,NA,NA,NA,NA,NA,0.177079222,old
1974,2,24340,NA,NA,NA,NA,NA,NA,0.294057302,old
1974,3,26703,NA,NA,NA,NA,NA,NA,0.357661542,old
1974,4,14602,NA,NA,NA,NA,NA,NA,0.458128095,old
1974,5,12594,NA,NA,NA,NA,NA,NA,0.498747629,old
1974,6,12417,NA,NA,NA,NA,NA,NA,0.567788643,old
1974,7,15377,NA,NA,NA,NA,NA,NA,0.591951249,old
1974,8,4053,NA,NA,NA,NA,NA,NA,0.61822417,old
1974,9,1714,NA,NA,NA,NA,NA,NA,0.645104219,old
1974,10,1749,NA,NA,NA,NA,NA,NA,0.673036736,old
1975,1,14206,NA,NA,NA,NA,NA,NA,0.177079222,old
1975,2,24905,NA,NA,NA,NA,NA,NA,0.294057302,old
1975,3,13049,NA,NA,NA,NA,NA,NA,0.357661542,old
1975,4,11636,NA,NA,NA,NA,NA,NA,0.458128095,old
1975,5,7052,NA,NA,NA,NA,NA,NA,0.498747629,old
1975,6,7526,NA,NA,NA,NA,NA,NA,0.567788643,old
1975,7,5456,NA,NA,NA,NA,NA,NA,0.591951249,old
1975,8,3917,NA,NA,NA,NA,NA,NA,0.61822417,old
