,US.Commercial,US.Recreational,US.Comm.discards,US.Total.Catch,Canada,Other.Countries,Total
1960,1396,NA,NA,1396,5957,0,7353
1961,1361,NA,NA,1361,5459,11,6831
1962,938,NA,NA,938,6865,175,7978
1963,1320,NA,NA,1320,6473,1299,9092
1964,1644,NA,NA,1644,10960,801,13405
1965,1998,NA,NA,1998,11590,2945,16533
1966,2724,NA,NA,2724,12821,7951,23496
1967,3891,NA,NA,3891,11243,19047,34181
1968,3929,NA,NA,3929,26096.976,65747,95772.976
1969,4364,NA,NA,4364,21247.079,114189,139800.079
1970,4049,NA,NA,4049,19612.938,210864,234525.938
1971,2406,NA,NA,2406,24279.914,355892,382577.914
1972,2006,NA,NA,2006,26182.976,391464,419652.976
1973,1336,NA,NA,1336,34513.117,396759,432608.117
1974,1042,NA,NA,1042,42300.1,321837,365179.1
1975,1974,NA,NA,1974,24772.878,271719,298465.878
1976,2712,NA,NA,2712,25424.911,223275,251411.911
1977,1377,NA,NA,1377,22510.896,56067,79954.896
1978,1605,NA,NA,1605,25432.031,841,27878.031
1979,1990,NA,NA,1990,30244.956,440,32674.956
1980,2683,NA,NA,2683,22136.093,566,25385.093
1981,2941,2626.907688,NA,5567.907688,19296.031,5361,30224.93869
1982,3330,1877.084799,NA,5207.084799,16378.008,6647,28232.0928
1983,3805,2792.44122,NA,6597.44122,19792.032,5955,32344.47322
1984,5954,2716.313348,NA,8670.313348,17331.046,15045,41046.35935
1985,6632,4087.963984,NA,10719.96398,29862.08,32409,72991.04398
1986,9637,7660.525502,NA,17297.5255,28469.104,26507,72273.6295
1987,12310,7555.1319,NA,19865.1319,27492.121,36564,83921.2529
1988,12309,5420.363106,NA,17729.36311,24051.069,42858,84638.43211
1989,14556,2828.750063,160.4298759,17545.17994,20853.659,36823,75221.83894
1990,31261,3252.005352,827.3806261,35340.38598,21789.963,30678,87808.34898
1991,26961,3539.976715,1098.38145,31599.35816,25898.873,15714,73212.23116
1992,11760.7203,919.293508,2072.33264,14752.34645,26562,0,41314.34645
1993,4661.923953,1230.593561,3902.336687,9794.8542,26848,0,36642.8542
1994,8917.380155,2653.578272,5409.001488,16979.95991,20829,0,37808.95991
1995,8468.43892,1697.116551,53.92337527,10219.47885,17802,0,28021.47885
1996,15727.55794,2465.609191,2052.526201,20245.69334,20482,0,40727.69334
1997,15402.62115,2857.32768,228.8348724,18488.7837,21425,0,39913.7837
1998,14524.83192,1553.227867,97.49931954,16175.5591,19186,0,35361.5591
1999,12031.35437,2831.894098,770.5037266,15633.7522,16573,0,32206.7522
2000,5648.84615,3053.94872,152.8578871,8855.652757,16106,0,24961.65276
2001,12340.24942,3299.606475,718.1969369,16358.05283,24440,0,40798.05283
2002,26529.97092,2678.349208,155.3120674,29363.6322,34669,0,64032.6322
2003,34297.80921,1870.480171,264.2793642,36432.56874,44748,0,81180.56874
2004,54990.27947,1169.307416,2140.849548,58300.43643,53966,0,112266.4364
2005,42208.94186,1693.856779,1082.587994,44985.38664,54809,0,99794.38664
2006,56640.41132,3911.314175,134.8705456,60686.59604,53744,0,114430.596
2007,25546.07645,761.2154121,159.4546891,26466.74655,53394,0,79860.74655
2008,21733.75913,2730.962125,747.1052014,25211.82646,29675,0,54886.82646
2009,22634.47156,1768.119157,125.9500765,24528.5408,42273,0,66801.5408
2010,9876.682659,4287.696121,96.97402147,14261.3528,38701,0,52962.3528
2011,533.0567642,4039.547036,37.84173926,4610.445539,11508,0,16118.44554
2012,5332.61924,2670.452636,33.23826233,8036.310138,6849,0,14885.31014
2013,4372.446292,2405.658441,19.81686163,6797.921595,8675,0,15472.92159
2014,5905.144891,2295.541737,51.43813309,8252.124761,6680,0,14932.12476
2015,5616.431079,4274.143719,13.01861227,9903.59341,4281,0,14184.59341
2016,5687.430532,4568.668409,17.69018461,10273.78913,8057,0,18330.78913
2017,6974.732936,4161.279618,82.82041988,11218.83297,9786,0,21004.83297
2018,8717.190337,2393.565099,177.0683036,11287.82374,10964,0,22251.82374
2019,5379.33245,2116.791493,199.8660128,7695.989956,8626,0,16321.98996
2020,8306,2017,192,10515,,,
2021,5752,2168,133,8053,,,
2022,1908,1350,44,3302,,,
