year,1,2,3,4,5,6,7,8,9,10
1968,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1969,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1970,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1971,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1972,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1973,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1974,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1975,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1976,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1977,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1978,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1979,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1980,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1981,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1982,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1983,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1984,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1985,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1986,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1987,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1988,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1989,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1990,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1991,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1992,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1993,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1994,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1995,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1996,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1997,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1998,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2000,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2002,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2003,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2004,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2005,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2006,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2007,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2008,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2009,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2011,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2013,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2014,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2015,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2017,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2019,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2020,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2021,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2022,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
